BLACKPOOL STANLEY PARK,,,,,,,,,,,,,,
Grid ref,SD323360,Long,-3.029742,Lat,53.815854,Elevation,65,ft,,,,,,
Station no,3054,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,3.77,3.87,2.6,1.58,4.34,5.39,4.04,2.39,4.27,3.26,6.99,2.12,1.68
February,,1.13,2.28,1.86,3.8,1.48,1.75,1.23,4.07,3.66,0.76,1.95,1.38,4.21
March,,1.37,2.16,2.7,2.66,2.57,0.63,0.52,1.43,0.97,5.13,1.61,1.98,1.64
April,3.07,0.24,2.51,1.93,0.82,1.6,2.19,2.88,1.83,1.21,3.39,1.28,2.98,2.35
May,1.8,2.79,0.76,1.95,2.51,3.15,3.59,2.51,3.09,1.89,4.4,1.65,2.68,1
June,2.25,4.06,3.01,0.51,0.28,0.93,2.12,2.43,3.15,2.49,2.85,4.48,0.51,1.55
July,1.97,3.61,5.01,3.32,1.01,3.98,5.06,2.78,2.33,4.53,2.47,2.06,2.58,2.8
August,2.02,3.9,2.25,1.25,2.65,3.77,5.37,3.3,0.93,3.8,0.53,3.66,2.65,6.8
September,2.02,1.53,1.44,2.85,1.46,2.38,4.8,5.13,3.47,4.83,4.03,4.6,0.84,6.4
October,2.78,7.19,1.68,4.15,4.28,3.75,4.93,3.75,5.1,0.57,0.49,3.58,5.69,2.65
November,1.52,5.04,4.36,5.32,2.08,1,3.13,6.12,0.1,4.97,3.8,2.57,3.62,3.65
December,2.43,3.69,2.46,3.26,1.09,3.51,1.94,3.28,2.27,3.96,2.78,2.74,5,3.1
Total,,38.32,31.79,31.7,24.22,32.46,40.9,37.97,30.16,37.15,33.89,37.17,32.03,37.83
,,,,,,,,,,,,,,
The gauge moved to Stanley Park from the Meteorological Observatory in April 1937.,,,,,,,,,,,,,,
