BLACKPOOL METEOROLOGICAL OBSERVATORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD319377,Long,-3.036,Lat,53.831,Elevation,67,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937
January,,,,,3.7,1.55,4.31,1.36,2.14,1.82,3.72,0.98,3.86,4.3,1.75,4.1,1.58,2.04,3.43,4.26,3.49,5.36,3.75,2.64,3.02,2.27,3.48,3.17,7.19,1.71,5.04,3.46,4.34,2.22,3.19,1.8,3.61,2.38
February,,,,,3.77,1.35,3.38,1.5,1.93,0.94,3.48,3.18,1.85,1.48,2.46,3.45,2.92,1.25,3.26,1.34,2.18,0.32,3.39,4.27,0.84,4.07,3.91,2.02,3.41,0.98,0.43,2.98,0.05,3,0.05,3.54,2.21,5.02
March,,,,,2.25,2.67,2.59,2.6,2.36,2.7,1.04,0.99,4.91,3.3,3.27,1.2,1.88,2.4,1.43,4.74,4.37,2.6,1.76,1.31,1.53,0.97,1.31,2.61,2.39,0.76,2.61,0.39,2.18,2.29,1.96,0.98,1.86,1.36
April,,,,,2.22,2.57,1.08,1.67,2.87,2.86,1.71,2.29,0.41,3.75,0.67,2.3,2.44,1.48,1.25,1.47,4.37,1.74,1.72,2.92,1.68,2.13,0.97,1.07,1.34,0.91,1.47,2.14,2.76,1.61,2.13,2.25,0.95,
May,,,,,1.94,0.58,3.9,2.81,2.85,2.13,1.77,1.39,1.8,2.31,2.28,1.1,2.8,2.55,2.71,1.42,4.29,1.73,2.99,1.89,5.18,5.02,2.64,1.65,0.99,1.86,1.02,1.55,4.7,2.02,3.48,1.25,0.75,
June,,,,,1.22,2.04,1.35,5.48,2.3,2.14,2.5,2.61,4.46,1.99,1.07,1.17,1.62,2.45,1.34,1.3,2.39,0.37,1.93,0.54,2.16,0.27,2.09,2.59,5.38,1.23,1.24,7.37,1.29,1.48,2.44,3.5,4.15,
July,,,,,1.31,1.56,1.92,2.56,4.5,4.81,3.78,0.68,5.01,1.36,4.8,3.1,1.17,0.96,3.91,1.45,5.14,1.64,4.9,4.27,3.95,2.91,4.13,2.8,2.6,2.27,3.31,3.08,4.09,1.95,3.07,0.65,2.43,
August,,,,,2.87,3.82,2.98,3.61,3.52,2.97,4.31,3.39,4.45,1.79,2.22,4.05,2,6.89,3.25,4.03,1.57,5.4,6.98,6.02,3.94,2.82,3.5,5.89,4.05,3.92,7.88,3.66,1.43,3.17,4.13,2.04,2.15,
September,,,,,3.64,2.78,0.94,0.83,3.94,3,0.4,3.72,1.1,3.22,3.05,0.49,2.59,2.34,8.92,2.16,3.36,1.48,3.65,3.48,5.23,4.35,3.42,5.8,1.38,1.96,2.19,2.51,4.46,0.66,5,6.16,4.35,
October,,,,,2.41,2.76,5.25,4.11,2.54,4.92,2.69,2.94,4.58,3.18,1.72,1.67,4.58,6.27,3.34,3.5,1.47,1.72,0.69,4.73,4.32,4.87,4.37,3.26,5.48,5.14,5.13,2.51,5.3,4.86,4.95,5.72,2.19,
November,,,,,2.85,4.45,2.22,3.21,3.05,1.23,5.16,3.3,2.66,4.07,4.33,1.88,2.96,3.49,2.21,1.82,1.6,3.13,2.19,4.82,1.7,2.42,6.08,4.59,6.39,6.48,4.89,6.83,2.51,2.04,1.98,4.38,4.01,
December,,,,,2.68,0.83,2.84,3.61,2.48,5.94,2.7,5.65,3.42,1.94,5.06,6.68,2.12,1.57,6.86,5.85,2.58,4.37,4.17,4.33,5.31,2.13,0.98,1.47,2.98,6.81,4.71,2.69,2.05,0.85,5.12,2.71,4.97,
Total,,,,,30.86,26.96,32.76,33.35,34.48,35.46,33.26,31.12,38.51,32.69,32.68,31.19,28.66,33.69,41.91,33.34,36.81,29.86,38.12,41.22,38.86,34.23,36.88,36.92,43.58,34.03,39.92,39.17,35.16,26.15,37.5,34.98,33.63,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The rain gauge is shown on the old OS Six Inch map.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The gauge moved to Stanley Park in April 1937.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
