BURY ST. EDMUNDS (TURRET CLOSE),,,,,,,,,,,,
Grid ref,TL853641,Long,0.712704,Lat,52.243883,,,,,,,
Station no,1386/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.21,2.30,0.95,1.35,1.93,3.36,1.55,2.05,,,,
February,3.61,0.93,0.93,2.07,2.01,0.89,2.20,3.02,,,,
March,4.40,2.89,0.43,2.37,1.38,0.65,1.48,0.61,,,,
April,4.43,1.27,2.16,0.31,0.25,0.92,0.26,1.15,,,,
May,2.16,1.07,1.62,2.10,2.04,0.72,1.31,2.03,,,,
June,1.72,1.87,3.17,2.29,2.41,2.63,1.24,3.65,,,,
July,1.44,0.87,3.22,3.17,0.07,1.59,3.12,2.73,,,,
August,3.16,2.93,1.73,4.52,2.63,4.18,2.95,2.32,,,,
September,3.22,2.80,1.48,1.05,2.42,2.16,4.37,3.02,,,,
October,0.59,2.47,2.37,1.70,4.44,1.65,1.81,1.71,,,,
November,3.76,4.22,1.43,3.77,0.63,0.70,1.77,1.38,,,,
December,1.48,2.16,0.77,2.45,1.46,2.12,2.20,2.82,,,,
Total,32.18,25.78,20.26,27.15,21.67,21.57,24.26,26.49,,,,
Calc annual,32.18,25.78,20.26,27.15,21.67,21.57,24.26,26.49,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,,
