CHESTERFIELD-CROWHOLE-RES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK321748,Long,-1.5201564,Lat,53.269225,Elevation,605,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2718/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,1.78,2.88,1.48,3.38,5.68,3.45,5.24,,3.44,3.05,4.92,3.68,1.84,3.3,2.94,7.56,1.57,1.01,2.71,3.14,0.9,2.96,2.52,5.26,1.8,2.89,2.72,4.81
February,,,4.29,0.36,3.39,2.85,5.14,1.06,1.95,,3.61,1.22,2.03,1.36,2.64,3.67,1.8,1.89,1.48,5.62,3.83,0.75,1.99,2.84,2.02,1.05,3.02,4.09,0.04,2.79
March,,,2.59,3.69,1.17,2.22,2.83,0.43,2.22,1.78,4.56,1.84,0.97,0.33,0.59,1.12,5.53,1.13,1.32,1.18,4.32,1.94,1.64,2.59,2.87,1.06,2.29,2.64,1.97,2.34
April,,,0.97,2.69,2.78,1.83,2.06,0.19,1.86,2.59,1.56,1.51,1.45,2.42,1.82,1.2,2.59,1.62,2.41,2.37,1.24,1.8,2.74,0.36,0.86,1.89,0.07,1.01,3.51,1.82
May,,,1.98,1.43,0.36,1,3.29,2.33,1.42,1.52,2.34,4.97,2.66,2.33,2.51,1.61,2.36,1.77,1.97,1.67,3.49,2.58,2.06,3.16,2.93,0.54,1.69,2.52,1.02,1.73
June,,,1.73,0.67,4.32,3.62,1.56,2.14,2.29,0.79,0.23,1,1.68,1.88,2.87,3.45,2.12,4.32,1.03,1.81,1.01,1.9,1.88,2.87,3.2,3.22,1.22,5.34,1.19,1.25
July,,,1.8,1.54,1.35,4.25,3,3.55,5.29,3.04,4.25,1.78,1.88,3.34,1.96,3.21,1.82,1.18,4.03,1.92,1.61,1.93,2.76,2.41,0.95,4.34,3.84,5.58,1.39,3.79
August,,,0.44,1.85,1.83,1.3,0.74,2.21,2.38,0.44,3.3,3.65,3.11,2.73,3.06,4.91,0.56,4.87,1.59,3.68,4.38,1.41,3.17,5.24,0.95,6.7,4.59,2.69,0.99,4.78
September,,,1.11,1.67,3.64,3,1.35,1.85,1.62,1.54,0.46,2.37,3.47,4.71,0.87,4.07,1.71,1.82,1.19,3.54,2.34,2.92,1.86,2.95,0.84,3.75,5.94,3.27,0.07,4.13
October,,,5.55,2.37,5.18,3.55,3,3.93,3.99,4.26,3.04,2.35,2.43,3.78,5.47,1.17,0.51,1.93,3.52,1.17,1.07,3.96,2.01,3.56,2.1,1.91,1.86,2.63,2.35,6.75
November,,,1.95,2.28,5.89,3.28,2.16,4.25,4.62,6.57,3.92,1.44,2.8,5.22,0.47,6.46,2.93,1.49,4.3,4.46,8.59,1.86,1.58,6.28,2.73,0.97,2.57,0.94,4.12,4.72
December,,,0.44,5.67,4.2,2.61,4,4.47,1.95,2.61,1.53,2.25,1.37,2.91,2.05,3.67,3.1,3.52,3.69,1.64,3.31,2.6,1.33,4.18,3.48,4.7,3.06,4.53,5.18,3.21
Total,,,24.63,27.1,35.59,32.89,34.81,29.86,34.83,,32.24,27.43,28.77,34.69,26.15,37.84,27.97,33.1,28.1,30.07,37.9,26.79,23.92,39.4,25.45,35.39,31.95,38.13,24.55,42.12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDAS src_id 2839 CROWHOLE RESR Start 1933 end 1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is beside the bank of the reservoir; the gauge is noted as being in the bank. Altitudes match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
