BRANTON SCHOOL,,,,,,,,,,,,,,,,,,,,
Grid ref,NU046163,Long,-1.9288458,Lat,55.440558,Elevation,300,ft,,,,,,,,,,,,
Station no,3594/3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,1.37,0.85,,2.14,4.77,3.7,3.76,4.86,2.59,4.07,,,,,,,,,
February,,0.7,3.3,0.84,1.54,3.16,4.29,1.33,1.53,2.44,5.58,,,,,,,,,
March,,2.67,0.73,4.89,1.52,1.69,4.95,1.03,3.42,3.63,3.43,,,,,,,,,
April,,1.7,1.2,3.76,3.99,1.65,1.72,0.29,1.14,1.34,1.87,,,,,,,,,
May,,2.62,1.98,1.34,0.95,1.75,2.87,2.55,1.1,1.62,1.41,,,,,,,,,
June,,1.3,1.42,2.36,5.15,3.13,1.61,3.07,1.78,0.55,0.28,,,,,,,,,
July,,2.26,1,0.86,0.64,3.12,2.23,3.39,3,7.94,1.61,,,,,,,,,
August,,1,,3.73,4.04,2.38,2.74,2.24,1.86,0.86,3.14,,,,,,,,,
September,,2.39,1.38,1.76,3.06,3.67,2.17,1.82,1.63,1.84,1.01,,,,,,,,,
October,,6.18,3.67,4.8,3.85,1.64,2.63,4.74,5.29,3.09,4.07,,,,,,,,,
November,,1.01,3.84,3.89,3.45,3.63,1.17,3.65,2.98,4.3,3.68,,,,,,,,,
December,,2.12,2.1,4.34,2.21,1.79,6.63,3.36,1,2.95,0.85,,,,,,,,,
Total,,25.32,,,32.54,32.38,36.71,31.23,29.59,33.15,31,,,,,,,,,
