WOOTTON-OAK-LAWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SZ552934,Long,-1.2189,Lat,50.73782,Elevation,80,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,4.15,2.66,5.79,1.36,5.54,2.73,3.71,2.8,3.05,1.02,5.03,7.12,4.65,5.87,3.21,4.53,4.49,,,,,,,,
February,,,,,,,2.34,4.75,2.19,1,0.91,1.87,0.06,3.85,0.01,4.23,3.02,5.66,0.71,1.6,4.57,3.25,0.38,,,,,,,,
March,,,,,,,0.43,2.84,3.31,0.25,1.44,1.15,1.33,4.02,3.39,0.88,2.46,4.07,0.44,1.39,3.49,5.07,3.34,,,,,,,,
April,,,,,,,3.22,2.44,2.12,0.88,2.66,3.24,2.88,1.03,2.63,3.64,1.88,2.61,0,2.8,0.96,1.71,1.96,1.16,,,,,,,
May,,,,,,,2.48,0.59,0.9,2.6,1.87,3.5,5.29,2.32,1.15,1.29,0.39,3.54,1.88,1.27,0.72,2.18,3.54,2.72,,,,,,,
June,,,,,,,2.61,2.15,2.4,1.72,0.55,1.78,1.74,1.42,1.3,2.63,4.49,0.82,0.94,1.8,0.29,1.05,0.79,1.58,,,,,,,
July,,,,,,,2.13,3.55,1.82,1.38,2.24,3.24,3.04,1.66,0.59,2.33,3.87,1.98,2.48,3.55,3.02,1.91,1.51,2.55,,,,,,,
August,,,,,,,0.91,3.66,2.27,1.89,5.02,3.29,1.41,0.91,2.63,3.98,0.27,1.54,2.9,2.2,0.01,5.49,4.1,1.31,,,,,,,
September,,,,,,,0.88,7.02,1.07,0.46,3.46,2.34,3.62,4.2,2.66,4.8,3.15,3.13,1.8,0.83,1.75,1.56,2.5,1.9,,,,,,,
October,,,,,,,3.1,2.11,8,4.91,3.3,0.68,7.87,2.26,2.71,4.9,1.02,3.61,4.52,12.6,5.25,0.9,,3.94,,,,,,,
November,,,,,,,7.4,3.2,3.83,8.07,5.47,5.85,2.77,0.8,4.23,8.25,6.04,2.45,5.39,7.98,8.94,3.1,,1.95,,,,,,,
December,,,,,,,0.43,4.35,3.5,8.88,3.93,0.78,2.3,0.77,11.79,3.63,3.36,6.56,3.94,2.41,2.42,2.18,,,,,,,,,
Total,,,,,,,30.08,39.32,37.2,33.4,36.39,30.45,36.02,26.04,36.14,41.58,34.98,43.09,29.65,44.3,34.63,32.93,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935 Jan 1 Gauge moved 100yds E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944 Record terminated owing to observer illness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
