"BULCOTE CORPORATION FARM",,,,,,,,,,,,
Grid ref,SK660442,Long,-1.018213,Lat,52.991076,,,,,,,
Station no,2612,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,3.08,0.99,0.83,0.81,,
February,,,,,,,1.67,1.30,1.62,0.60,,
March,,,,,,,2.69,1.34,2.00,2.61,,
April,,,,,,,0.30,1.67,2.49,1.18,,
May,,,,,,,1.44,2.95,1.35,0.87,,
June,,,,,,,2.32,2.03,1.41,1.96,,
July,,,,,,,0.39,1.98,2.47,3.25,,
August,,,,,,,0.48,1.70,3.11,3.02,,
September,,,,,,,0.81,0.58,0.95,2.65,,
October,,,,,,,4.20,3.63,1.00,2.74,,
November,,,,,,,3.37,1.83,1.07,0.57,,
December,,,,,,,2.25,3.04,1.01,3.78,,
Total,,,,,,,23.00,23.04,19.31,24.04,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,23.00,23.04,19.31,24.04,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,-0.00,0.00,,
