BULCOTE-CORPORATION-FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK660442,Long,-1.018213,Lat,52.991076,Elevation,68,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,3.08,0.99,0.83,0.81,2,0.73,3.63,2.31,1.35,2.13,0.95,2.49,2.07,4.59,2.72,1.64,3.06,1.24,2.05,1.85,2.37,1.69,4.39,1.21,3.24,1.93,1.1,1.83,2.11,1.56,3.88,3.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,1.67,1.3,1.62,0.6,1.66,1.44,1.49,0.69,0.87,2.8,4.37,0.73,1.87,2.34,1.91,0.36,1.68,3.85,0.71,2.35,1.51,1.69,2.08,0.53,0.48,2.34,0.54,2,0.41,2.35,1.94,3.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,2.69,1.34,2,2.61,0.57,1.37,2,3.27,2.1,0.8,1.99,0.95,0.6,3.54,2.67,0.98,1.39,0.69,0.85,1,0.58,1.98,1.75,0.11,1.84,0.35,1.33,2.85,2.27,0.83,1.29,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,0.3,1.67,2.49,1.18,1.51,1.21,0.3,2.45,1.07,0.87,3.3,1.06,1.33,1.43,4.55,1.31,2.82,2.11,1.29,1.49,1.9,1.64,0.81,1.17,3.23,3.23,2.22,1.17,2.25,3.15,2.15,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,1.44,2.95,1.35,0.87,2.44,1.58,2.2,1.8,2.09,1.68,2.05,1.38,2.62,1.79,3.15,1.91,1.42,2.33,3.47,3.26,2.49,1.03,1.54,1.17,2.24,3.55,5.66,1.56,0.96,0.59,0.33,3.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,2.32,2.03,1.41,1.96,1.43,2.53,3.34,0.61,2.27,1.17,1.42,1.17,0.29,0.63,2.15,0.84,0.6,0.4,1.68,0,2.24,4.13,2.01,1.03,2.15,3.21,0.52,1.95,0.43,1.82,2.75,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,0.39,1.98,2.47,3.25,2.03,0.02,4.26,0.95,2.98,6.88,2.56,1.03,3.06,3.63,6.35,0.5,4.1,4.01,1.53,1.27,0.99,2.35,1.19,1.72,3.8,2.86,5.96,2.51,2.19,0.19,5.34,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,0.48,1.7,3.11,3.02,3.49,1.92,5.47,1.51,1.9,3.42,3.05,5.2,1.83,2.73,0.77,5.51,5.36,1.73,2.62,1.15,1.19,3.06,1.91,2.01,1.95,3.85,2.51,0.7,1.79,1.39,0.52,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,0.81,0.58,0.95,2.65,1.01,1.2,0.77,1.86,0.85,1.09,1.46,1.37,4.3,1.71,1.51,0.61,2.01,2.05,2.85,3.11,1.31,4.6,0.44,0.59,3.51,2.35,1.66,1.99,1.73,5.36,2.38,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,4.2,3.63,1,2.74,1.64,1.71,2.21,3.74,2.11,1.46,1.88,3.08,1.67,2.54,1.38,3.03,2.15,1.29,4.02,3.33,2.14,2.12,4.11,2.65,2.32,0.56,2.83,3.41,1.1,2.75,1.13,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,3.37,1.83,1.07,0.57,2.49,2.26,1.2,1.73,2.89,2.64,2.31,1.06,1.84,1.98,1.81,1.78,1.24,1.85,1.4,1.95,3.05,2.38,3.4,5.13,3.36,2.17,1.91,1.75,2.5,3.97,2.87,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,2.25,3.04,1.01,3.78,5.26,3.58,4.39,1.07,4.09,4.89,2.49,0.7,4.38,4.29,3.03,1.67,3.32,2.49,2.54,2.25,0.8,2.93,2.27,3.92,1.99,0.97,0.69,0.24,3.97,3.1,1.7,2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,23,23.04,19.31,24.04,25.53,19.55,31.26,21.99,24.57,29.83,27.83,20.22,25.86,31.2,32,20.14,29.15,24.04,25.01,23.01,20.57,29.6,25.9,21.24,30.11,27.37,26.93,21.96,21.71,27.06,26.28,25.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926 Total corrected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936 Aug - transcribed value of 2.52 would create incorrect column total. Changed to 0.52 as '2' appears to have been partially erased.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
