"EDINBURGH W W (SHIEL HOPE)",,,,,,,,,,,,
Grid ref,NT092188,Long,-3.437291,Lat,55.454601,,,,,,,
Station no,5070/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.84,5.50,2.60,4.06,4.30,3.00,8.30,4.60,3.50,6.10,,
February,5.10,1.40,1.80,4.38,2.08,1.70,4.40,4.30,1.90,7.80,,
March,4.30,3.50,0.70,3.66,2.72,2.60,4.30,1.80,4.50,2.10,,
April,5.40,3.40,4.00,1.30,2.20,0.90,2.30,2.50,5.00,6.00,,
May,1.80,2.10,4.00,6.50,3.30,2.60,2.50,4.00,2.00,2.90,,
June,2.50,3.50,1.70,4.30,2.40,3.40,2.00,3.30,3.20,2.60,,
July,3.50,2.70,8.60,4.80,2.00,4.80,4.50,4.60,5.30,3.50,,
August,7.70,5.40,3.40,5.80,2.10,8.00,5.60,5.30,1.40,4.40,,
September,5.60,2.70,6.10,8.70,3.90,6.60,3.40,5.30,1.40,3.90,,
October,0.70,6.70,4.40,11.00,3.70,4.00,5.10,3.60,6.40,3.30,,
November,13.10,3.94,7.60,10.50,3.40,2.10,2.80,1.60,10.18,11.40,,
December,8.50,4.96,5.10,6.10,6.60,7.10,5.80,5.20,7.80,5.40,,
Total,65.04,45.80,50.00,71.10,38.70,46.80,51.00,46.10,52.58,59.40,,
Calc annual,65.04,45.80,50.00,71.10,38.70,46.80,51.00,46.10,52.58,59.40,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,,
