PETERSFIELD FAIRLEY,,,,,,,,,,,,
Grid ref,SU749234,Long,-0.933862,Lat,51.005121,,,,,,,
Station no,RR6842,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.83,1.81,1.45,3.22,6.49,1.13,8.70,1.14,2.43,1.22,,
February,7.09,2.79,1.92,2.25,4.93,0.84,4.17,1.94,1.72,0.50,,
March,1.05,2.96,2.80,4.49,1.56,5.79,1.81,1.15,4.08,5.15,,
April,1.39,2.99,1.70,2.62,1.71,1.76,0.75,4.99,2.71,1.84,,
May,1.72,0.84,3.02,3.14,3.84,0.56,1.92,2.22,2.37,2.41,,
June,4.33,3.55,3.62,3.35,0.95,5.20,1.73,3.48,0.86,2.86,,
July,1.22,3.22,1.22,4.06,1.40,0.46,0.44,2.53,3.69,3.22,,
August,3.29,1.63,4.30,5.09,2.93,3.32,0.90,2.29,6.53,2.38,,
September,1.17,2.54,0.83,3.17,2.33,2.54,1.71,0.57,2.17,2.77,,
October,3.36,2.83,2.73,9.89,2.77,2.22,6.14,7.64,2.86,8.81,,
November,3.26,0.79,4.32,2.44,1.53,4.88,5.37,3.08,1.41,0.82,,
December,5.22,5.80,2.49,4.10,3.92,0.93,2.37,4.81,4.14,5.41,,
Total,37.93,31.75,30.40,47.82,34.36,29.63,36.01,35.84,34.97,37.39,,
Calc annual,37.93,31.75,30.40,47.82,34.36,29.63,36.01,35.84,34.97,37.39,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
