MARKET-HARBOROUGH-SHREWSBURY-AVENUE,,,,,,,,,,,,,,,,,,,,
Grid ref,SP747866,Long,-0.90171454,Lat,52.472233,Elevation,356,ft,,,,,,,,,,,,
Station no,2492/6,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,1.64,1.02,3.77,3.68,2.89,5.19,2.88,3.65,,,,,1.66,1.57,,,
February,,,,0.41,2.08,2.27,3.09,0.92,0.99,2.88,1.71,,,,,2.12,,,,
March,,,,1.68,0.52,1.5,2.53,0.22,1.62,2.16,3.04,,,,,1.05,,,,
April,,,,2.08,3.41,2.09,3.01,0.09,1.9,2.13,1.92,,,,,1.75,2.23,,,
May,,,,1.3,0.63,1.55,3.4,1.66,0.89,1.7,2.64,,,,,1.74,1.34,,,
June,,,,0.63,3.52,4.11,1.13,1.76,2.29,0.94,1.51,,,,,5.86,1.54,,,
July,,,,1.14,0.51,5.5,1.65,4.37,3.04,3.09,4.51,,,,,1.46,2.81,,,
August,,,,1.5,2.72,0.96,1.65,,4.44,0.22,3.48,,,,,3.55,,,,
September,,,,1.66,3.71,2.19,1.41,,0.76,1.26,0.46,,,,,3.81,,,,
October,,,,1.51,3.2,1.69,2.15,2.57,4.16,3.5,1.81,,,,,1.11,,,,
November,,,,2.16,4.29,2.23,1.53,2.7,3.46,6.28,2.74,,,,0.45,5.48,,,,
December,,,,4.51,2.95,1.84,1.91,3.45,1.29,1.89,0.98,,,,2.33,2.29,,,,
Total,,,,20.22,28.56,29.7,27.14,,30.03,28.93,28.45,,,,,31.88,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1938 Aug Sep estimated,,,,,,,,,,,,,,,,,,,,
1947 Feb Mar estimated,,,,,,,,,,,,,,,,,,,,
