BROOKLAND-POPLAR-HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ9755525661,Long,0.81396,Lat,50.99643,Elevation,12,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,250/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,3,2.86,1.87,4.33,1.36,1.73,,2.03,3.26,1.17,0.71,3.63,2.99,,,,,,,,
February,,,,,,,,,1.37,1.72,2.35,0.99,1.16,0.86,1.45,,1.54,0.85,0.91,3.78,5.11,1.3,,,,,,,,
March,,,,,,,,,2.22,1.88,2.11,2.53,0.32,0.11,1.94,,5.44,0.65,0.59,0.98,3.21,2.8,,,,,,,,
April,,,,,,,,,2.1,1.14,1.11,0.82,0.99,1.46,0.83,,1.68,0.87,1.13,2.35,1.46,0.98,,,,,,,,
May,,,,,,,,,1.26,1.6,1.56,2.71,1.53,0.82,1.78,3.04,0.94,1.63,1.53,1.23,1.41,1.49,,,,,,,,
June,,,,,,,,,1.74,0.69,1.67,0.15,1.31,0.94,0.3,2.18,1.5,1.44,0.37,0.66,0.88,0.72,,,,,,,,
July,,,,,,,,,3.12,3.01,2.46,1.87,1.71,2.3,1.51,2.75,3.34,1.43,0.45,2.23,1.95,0.55,,,,,,,,
August,,,,,,,,,1.47,0,4.65,1.41,1.01,2.38,0.83,4.02,0,2.46,0.98,2.83,4.83,4.46,,,,,,,,
September,,,,,,,,,0.88,2.1,0.17,2.71,1.41,2.34,0.75,2.19,0.95,2.6,3.63,1.67,4.42,4.08,,,,,,,,
October,,,,,,,,,7.64,2.9,1.59,3.32,1.97,3.97,,1.61,0.32,0.99,7.16,0.67,2.27,2.91,,,,,,,,
November,,,,,,,,,4.68,6.85,2.8,2.63,1.63,5.52,,3.86,1.06,1.89,2.62,5.28,4.32,3.34,,,,,,,,
December,,,,,,,,,1.68,1.87,1.33,3.12,1.9,1.78,,2.84,2.54,1.58,1.34,2.36,2.26,3.24,,,,,,,,
Total,,,,,,,,,,26.76,24.66,24.13,19.27,23.84,,,21.34,19.65,21.88,24.75,35.75,28.86,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939 Jan estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge moved to Poplar Hall Jan 1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
