BROOKLAND-POPLAR-HALL (DEAN COURT),,,,,,,,,,
Grid ref,TQ9712925349,Long,0.80772,Lat,50.99377,Elevation,12,ft,,
Station no,250/1,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,3.91,5.16,2.86,,
February,,,,,,1.47,4.76,0.63,,
March,,,,,,1.01,,0.47,,
April,,,,,,2.26,,0.46,,
May,,,,,,0.26,,2.02,,
June,,,,,,2.99,,0.91,,
July,,,,,,3.94,,2.04,,
August,,,,,,1.22,,2.03,,
September,,,,,,2.94,,2.33,,
October,,,,,,1.71,,2.31,,
November,,,,,,4.78,,2.16,,
December,,,,,4,2.72,,2.6,,
Total,,,,,,29.21,,20.82,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1935 Nov estimated,,,,,,,,,,
,,,,,,,,,,
Gauge moved to Poplar Hall Jan 1939,,,,,,,,,,
