"ASHOPTON MOSCAR FLAT",,,,,,,,,,,,
Grid ref,SK234880,Long,-1.649630,Lat,53.388327,,,,,,,
Station no,RR4219,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,5.12,1.97,3.10,2.73,,
February,,,,,,,3.18,2.25,2.81,2.17,,
March,,,,,,,3.13,3.56,3.64,3.46,,
April,,,,,,,1.37,3.16,3.47,2.23,,
May,,,,,,,2.94,4.13,3.14,2.55,,
June,,,,,,,1.66,5.58,2.47,4.05,,
July,,,,,,,2.55,2.68,3.42,4.24,,
August,,,,,,,3.03,4.01,3.56,2.03,,
September,,,,,,,1.07,0.79,2.89,3.16,,
October,,,,,,,5.73,7.27,1.64,4.86,,
November,,,,,,,5.50,3.71,2.60,1.35,,
December,,,,,,,3.85,3.03,2.63,7.46,,
Total,47.03,,39.14,49.14,34.68,35.99,39.13,42.14,35.37,40.29,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,39.13,42.14,35.37,40.29,,
Difference,47.03,NaN,39.14,49.14,34.68,35.99,0.00,0.00,0.00,0.00,,
