BOLTON LE MOORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD720092,Long,-2.4233,Lat,53.5789,Elevation,286,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,1.44,2.49,1.46,8.92,5.1,5.05,3.54,1,3.75,6.04,4.98,3.6,5.28,3.76,4.07,4.85,2.86,2.53,6.67,4.46,3.04,7.97,4.92,5.44,0.83,4,4.41,3.3,2.7,5.57,0.78,3.68,5.82,3.61,4.2,5.63,4.95,3.38,3.26,3.95,1.7,5.35,5.07,4.86,5.6,2.57,6.89,5.33,1.91,0.57,1.1,3.91,6.46,5.35,3.11,6.49,3.12,2.29,1.66,5.58,2.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,4.27,0.81,4.74,3.6,4.98,3.36,4.4,2.8,3.52,2.1,2.22,1.34,1.47,5.2,2.65,1.55,3.31,8.5,2.34,3.81,5.78,5.97,2.33,4.39,1.76,5.65,2.77,0.05,3.87,1.64,3.85,1.18,1.52,4.1,4.18,5.23,3.7,2.89,5.51,1.41,4.59,4.6,1.29,1.88,1.08,4.62,6.19,2.04,3.88,2.78,7.69,2.77,2.76,2.83,3.88,0.9,0.86,1.3,2.7,0.54,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,4.97,2.84,1.42,3.07,4.91,5.31,1.41,3.04,5.01,0.73,3.42,6.51,2.31,4.23,2.27,2.33,1.36,4.02,0.61,1.38,4.16,0.47,1.7,1.57,4.09,0.65,2.96,3.8,5.27,5.81,6.92,4.62,1.55,3.06,1.74,2.83,1.74,6.34,1.68,3.31,2.09,4.15,3.92,4.66,0.87,4.32,3.58,2.48,2.05,2.71,5.55,3.54,1.21,3.02,3.14,3.52,2.35,3.45,2.48,3.85,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,2.16,3.87,3.2,1.86,1.23,4.37,2.02,3.94,1.03,1.36,1.12,0,7.58,1.24,2.37,3.67,2.81,2.26,1,4.77,1.44,0.43,2.2,1.42,1.91,3.31,2,3.14,4.86,1.75,1.72,3.36,1.71,2.19,1.32,0.72,5.65,2.33,3.12,2.46,3.78,3.08,0.95,1.46,1.11,2.8,2.24,2.38,1.66,1.94,1.78,5.35,2.17,0.86,1.24,2.06,1.28,2.07,2.55,1.38,2.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,0.62,6.07,0.66,1.65,2.93,0.18,1.57,3.89,0.53,4.5,3.71,2.89,3.51,0.2,1.24,1.57,5.46,2,3.16,3.09,2.49,2.26,0.85,2.13,1.73,4.59,1.82,3.17,0.5,5.14,1.45,4.93,3.44,3.29,3.21,2.07,1.82,1.15,2.98,1.91,1.86,3.03,2.29,1.96,2.39,0.71,4.07,5.18,2.15,2.55,4.22,2.8,0.67,1.83,2.28,5.35,2.67,0.54,3.9,2.61,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,3.6,7.94,7.06,3.67,2.5,3.93,2.61,6.64,3.14,4.35,2.94,2.48,2.81,2.13,4.89,3.6,4.37,5.91,1.19,2.69,5.88,5.82,4.22,2.42,4.12,3.37,4.58,2.08,2.6,8.74,1.56,5.33,4.97,3.99,0.63,5.24,1.3,0.33,1.74,4.01,3.57,6.56,2.47,1.63,5.01,3.08,2.22,3.48,6.71,3.44,2.34,7.58,3.81,0.55,4.57,2.12,1.1,2.38,0.7,3.75,3.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,12.02,3.73,3.57,6.88,3.16,5.76,3.12,4.43,6.59,6.65,6.3,4.83,5.17,3.68,3.83,5.83,1.6,3.74,7.73,3.9,4.04,3.32,5.46,3.83,5.04,3.8,5.1,3.44,2.16,2.16,4.99,3.9,1.99,3.1,3.39,4.08,6.64,0.6,1.24,1.13,4.82,4.34,7.03,3.46,5.67,3.95,7.17,2.04,5.71,5.3,5.87,5.56,3.25,5.11,1.99,4.5,1.53,7.36,4.18,3.32,2.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,6.27,5.83,4.8,3.66,2.03,2.82,2.86,6.94,3.55,5.37,5.42,1.54,4.19,4.8,7.45,4.01,3.82,7.48,4.13,6.33,2.69,5.01,1.97,2.8,3.77,4.78,5.2,3.49,7.21,6.98,4.47,5.3,7.07,3.63,6.18,6.88,1.67,5.29,4.21,2.51,1.71,3.79,5.21,6.77,3,4.55,5.91,5.7,7.42,2.61,5.35,4.42,2.93,1.91,1.8,2.55,2.02,4.2,7.1,6.55,8.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,5.57,1.75,3.07,3.29,7.43,4.3,3.52,1.8,6.95,4.72,5.17,2.48,1.05,4.7,4.07,2.06,7.69,3.18,4.88,3.07,1.98,2.77,3.55,3.22,1.28,4.94,4.41,5.31,6.67,3.93,7.28,5.46,7.51,4.74,0.43,8.66,4.93,2.34,9.21,3.78,5.3,8.42,3.18,4.2,5.92,4.99,3.32,6.3,3.31,5.97,2.39,2.21,6.8,3.97,5.83,4.38,4.55,2.37,4.36,2.5,4.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,7.51,6.48,4.75,2.38,5.41,4.21,5.98,7.83,2.78,3.22,6.65,3.32,8.5,1.89,4.76,5.47,6.76,7.25,4.72,4.49,5.45,5.26,4.68,3.78,8.01,3.14,2.04,4.9,3.46,7.52,2.43,7.58,7.67,2.55,6.4,3.52,5.77,8,5.07,11.54,6.11,5.32,6.43,5.97,6.13,3.24,5.75,4.48,3.36,2.89,4.04,4.22,6.16,2.74,7,5.92,2.76,2,3.5,4.43,5.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
