"BECKENHAM (CROYDON ROAD)",,,,,,,,,,,,
Grid ref,TQ368689,Long,-0.034729,Lat,51.402640,,,,,,,
Station no,400,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.79,1.85,0.99,1.35,2.97,3.83,1.31,1.96,2.38,1.77,,
February,6.88,1.12,1.51,2.10,1.57,0.27,2.66,2.42,0.07,1.71,,
March,2.72,2.61,0.49,1.83,1.08,1.01,0.84,1.47,1.81,1.66,,
April,2.27,1.14,2.33,0.29,0.27,1.14,0.29,1.37,1.81,0.56,,
May,2.36,2.25,1.48,2.06,4.03,0.34,1.10,1.98,0.77,2.17,,
June,1.03,1.85,1.61,3.95,1.91,2.78,0.91,4.42,0.87,1.47,,
July,1.87,0.78,3.14,2.09,0.21,4.48,2.32,1.79,1.33,3.44,,
August,3.05,2.91,1.70,2.80,0.74,2.81,3.90,3.48,1.21,2.81,,
September,2.47,3.37,2.87,1.81,2.32,2.32,2.58,4.61,0.07,4.89,,
October,0.92,2.84,4.07,1.71,3.40,1.18,1.65,2.84,2.02,5.33,,
November,4.94,3.53,1.18,4.49,0.62,0.72,2.84,1.63,2.75,4.00,,
December,2.10,2.37,0.71,1.70,1.93,2.76,1.94,2.78,3.72,2.55,,
Total,33.40,26.62,22.08,26.18,21.05,23.64,22.34,30.75,18.81,32.36,,
Calc annual,33.40,26.62,22.08,26.18,21.05,23.64,22.34,30.75,18.81,32.36,,
Difference,-0.00,0.00,-0.00,-0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,,
