WOBURN-PARK-COWHILL-POND,,,,,,,,,,
Grid ref,SP952329,Long,-0.61510479,Lat,51.986408,Elevation,370,ft,,
Station no,RR6583,,,,,,,,,
,,,,,,,,,,
,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809
January,,1.12,1.64,,,,,,,
February,,2.29,1.98,,,,,,,
March,,2.1,0.47,,,,,,,
April,,2.47,0.91,,,,,,,
May,,1.62,,,,,,,,
June,,1.75,4.99,,,,,,,
July,,3.5,,,,,,,,
August,,1.46,,,,,,,,
September,,4.76,,,,,,,,
October,,3.57,,,,,,,,
November,,5.67,,,,,,,,
December,,2.23,,,,,,,,
Total,,32.54,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"A note on the TYR states that the first 4 months of 1801, the gauge stood in Mr Fareq's yard at 7ft above the ground.",,,,,,,,,,
(Mr Fareq was the Duke of Bedford's Agent.),,,,,,,,,,
Elevation estimated from OS map,,,,,,,,,,
