COBHAM-HATCHFORD-PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ092580,Long,-0.434674,Lat,51.310647,Elevation,150,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,3.15,1.29,0.92,2.56,2.94,1.23,3.88,1.18,1.27,0.83,1.89,1.11,3.55,2.73,0.86,4.39,1,1.4,4.14,4.84,3.57,2.65,4.15,,,,,,,,
February,5.41,1.77,0.73,1.25,3.62,0.62,1.87,1.53,0.87,0.25,3.39,1.26,1.73,0.73,5.36,6.1,4.88,0.84,1.25,2.72,0.56,0.64,3.25,,,,,,,,
March,1.17,2.4,1.78,2.73,1.5,3.79,1.38,0.94,3.18,4.03,1.34,1.67,3.38,2.63,5.12,0.95,5.99,1.67,1.05,4.9,1.74,1.68,2.64,,,,,,,,
April,0.84,2.12,0.94,1.61,1.33,1.12,0.34,3.51,2.11,1.83,1.29,1.75,0,2.08,1.1,1.83,1.09,2.53,5.04,3.24,4.02,1.05,3.64,,,,,,,,
May,1.64,0.41,2.08,3.91,2.12,0.66,1.21,1.57,1.78,1.35,1.97,0.97,1.27,1.66,1.44,3.22,1.88,3.56,3.06,0.23,0.58,1.64,1.43,,,,,,,,
June,2.18,0.91,3.69,6.73,1.06,4.83,2.51,2.42,2,3.73,1.26,2.22,2.8,0.63,0.66,0.93,2.23,2.86,1.83,1.52,2.23,0.1,1.25,,,,,,,,
July,1.66,2.87,1.65,4.84,1.67,0.78,0.77,1.26,1.91,3.05,2.94,1.05,1.27,1.71,2.16,4.62,1.96,5.82,8.61,2.95,5.42,0.29,3.87,,,,,,,,
August,2.1,1.73,4.08,4.95,0.93,2.43,1.02,2.26,3.24,2.41,2.96,0.48,5.27,1.44,1.04,2.33,4.06,5.88,0.91,2.97,2.01,0.6,3.57,,,,,,,,
September,0.59,1.55,0.76,3.86,2.12,2.22,2.29,0.91,1.25,3.45,0.76,1.05,3.47,2.25,0.97,3.16,2.28,1.92,6.65,2.32,3.38,1.76,2.48,,,,,,,,
October,2.11,2.23,1.9,5.54,2.06,1.27,4.16,4.18,2.34,4.86,3.13,3.15,3.14,3.51,2.17,3.46,5.42,4.07,1.19,0.89,2.35,0.93,1.32,,,,,,,,
November,2.25,0.62,2.47,2.23,1.49,3.48,4,2.12,0.85,0.66,3.1,3.54,1.98,2.18,4.13,2.58,5.15,1.18,3,2.15,1.84,2.24,2.01,,,,,,,,
December,2.62,3.97,1.34,2.28,2.67,0.77,1.47,2.28,2.27,2.98,4.44,6.69,3.05,1.11,9.96,6.87,3.16,2.02,2.45,6.24,2.79,1.79,5.65,,,,,,,,
Total,25.72,21.87,22.34,42.49,23.51,23.2,24.9,24.16,23.07,29.43,28.47,24.94,30.91,22.66,34.97,40.44,39.1,33.75,39.18,34.97,30.49,15.37,35.26,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No 1899 record found and no entry in BR for 1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge read at 8am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922 Station terminated Observer went abroad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
