"CLEISH HILLS (LOCH GLOW RES)",,,,,,,,,,,,
Grid ref,NT094961,Long,-3.459889,Lat,56.148955,,,,,,,
Station no,5482,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.23,0.88,2.69,2.61,1.68,2.13,3.94,1.60,1.30,3.50,,
February,2.21,0.29,1.01,2.34,1.57,1.48,2.49,1.37,1.09,2.00,,
March,2.38,2.92,0.78,1.82,1.75,1.71,2.98,2.18,-999.00,1.40,,
April,2.40,1.15,0.47,1.06,1.29,0.67,1.58,0.92,-999.00,1.50,,
May,2.32,0.86,1.93,6.29,3.11,1.72,2.10,2.79,-999.00,2.80,,
June,2.12,3.44,2.47,3.68,1.56,2.97,1.89,4.33,4.00,1.50,,
July,6.77,2.31,1.59,2.84,0.69,5.10,5.34,6.46,3.10,4.25,,
August,4.65,4.60,6.24,4.14,0.94,4.45,5.00,3.05,1.00,4.75,,
September,2.17,2.34,1.85,4.41,2.03,3.18,1.79,4.35,0.80,2.50,,
October,0.86,1.83,4.78,8.27,2.48,2.38,2.67,2.70,2.75,5.50,,
November,5.65,2.33,1.75,4.47,1.62,0.45,1.81,1.37,6.20,3.75,,
December,2.98,2.69,4.49,3.87,5.31,3.06,3.85,6.19,5.00,4.25,,
Total,37.74,25.64,30.05,45.80,24.03,29.30,35.44,37.31,-999.00,37.70,,
Calc annual,37.74,25.64,30.05,45.80,24.03,29.30,35.44,37.31,25.24,37.70,,
Difference,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-1024.24,0.00,,
