CLEISH HILLS (LOCH GLOW RES),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT094961,Long,-3.459889,Lat,56.148955,Elevation,900,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,2.2,2.6,2.2,4.1,3,6.4,2.5,3.8,,,3.5,2.75,2.2,3.1,2.4,4.6,2.3,5.5,0.75,4.1,1.6,4.3,2.9,4.32,1.38,3.81,3.26,4.93,4.98,,2.4,2.84,3.15,3.27,,,,,,
February,,5.5,3.4,2.7,3.5,4.8,3.5,2.3,6.2,,3.21,0.7,2.2,3.9,0.7,3.6,4.5,1.8,2.5,1.1,1.1,2.5,0.2,3.1,0.17,2.83,3.02,4.19,1.45,4.83,,4.25,0.86,1.64,0.98,,,,,,
March,,2.5,5.1,4.8,5,2.6,3.8,2.4,1.51,,2.3,2.9,2.5,0.9,0.85,1.15,1.3,2.6,2.35,0.4,2.1,1.5,2.4,2.1,4.89,1.42,3.14,2.73,1.29,2.02,2.25,2.05,1.27,1.47,0.25,,,,,,
April,,2.5,1,3.3,2.1,2.5,3.2,1.5,0.97,,1.87,,2,2.8,1.55,3.4,1.72,1.1,0.8,1.45,1.5,2.4,1.5,1.1,4.36,3.89,1.07,2.03,0.71,2.08,2.84,1.92,2.89,1.15,,,,,,,
May,,1.9,2.2,3.7,3.3,2,5.6,3.5,4.25,,2.94,1.15,1.85,0.95,,5.9,1.3,2.5,1.6,2.5,1.8,3.5,3.9,2.1,2.31,0.73,1.05,2.53,4.31,2,0.95,4.28,3.12,3.75,,,,,,,
June,,2,5.3,3.3,0.8,2.8,3.8,2.5,0.6,,,0.3,1.8,1.3,1.9,0.6,3.9,4.2,5,2,1.1,4.65,1.5,1.5,2.17,3.56,1.17,2.24,4.98,1.53,0.64,0.6,1.92,3,,,,,,,
July,,2.2,2.8,1,4.1,4.5,5.4,2.3,4.52,,2.9,2.5,4.25,2.8,,1.2,4.5,2.75,1.5,2.4,3.25,5.3,2.2,5.3,4.35,1.53,3.49,5.23,4.77,5.1,5.98,2.42,2.5,2.76,,,,,,,
August,,2,5.4,1.6,3.8,3.8,3.7,7.1,3.6,,4.9,6,1.9,4.7,3.6,3.5,2.5,8.9,5.2,5,6.9,3.45,1.8,1.1,4.28,3.64,2.71,4.59,1.46,1.25,0.63,4.14,2.8,5.7,,,,,,,
September,,2.1,4.1,3,1.8,2.3,2.8,2.9,6.68,,1.82,1.25,1.9,2.2,4.2,3.15,4.5,6.1,3.15,0.7,4.5,1.4,2.3,1.8,3.09,4.77,4.31,2.01,4.23,1.61,1.71,1.01,3.02,3.07,,,,,,,
October,,4,4.5,3.5,3.5,4.6,8,5.5,5.5,,1.24,3.75,2.45,3,3.45,2.3,4.2,5.5,4.95,2.9,3.3,1.9,7.3,2.95,4.76,7.23,3.17,3.12,6.88,2.25,4.11,3.36,2.35,4.93,,,,,,,
November,,6,3.4,5,6.8,2.3,6.4,6.3,3.33,,2.46,2.15,2.43,2.2,2.7,1,5.2,2.9,4.4,4.15,4.1,5.6,2.4,1.9,1.43,3.92,2.61,1.33,4.11,5.7,4.21,2.89,0.41,1.47,,,,,,,
December,,5,6.8,3.2,7,7.6,5.3,2.4,4.16,,3.95,3.5,1.2,2.5,4.1,2,0.75,2.3,3.2,4.9,2.79,0.9,5.6,0.59,4.58,3.15,2.76,1.98,3.11,2.2,1.62,1.57,2.02,1.81,,,,,,,
Total,,37.9,46.6,37.3,45.8,42.8,57.9,41.2,45.12,,,,27.23,29.45,,30.2,38.97,42.95,40.15,28.25,36.54,34.7,35.4,26.44,40.71,38.05,32.31,35.24,42.23,35.55,,30.89,26,33.9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920 Jan Jun + T deleted est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921 Apr+T deleted est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924 May+ Jul Deleted est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 JF + T deleted est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
