"GREEN CRAG",,,,,,,,,,,,
Grid ref,NY941763,Long,-2.093953,Lat,55.081112,,,,,,,
Station no,3578,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.39,2.73,1.66,5.14,1.60,0.76,3.17,1.14,1.84,1.52,,
February,4.79,4.18,1.81,4.46,2.26,0.96,0.94,1.32,1.31,2.39,,
March,2.47,2.74,2.14,2.75,1.20,2.25,1.40,1.27,2.83,2.88,,
April,2.54,1.71,1.76,1.43,2.23,4.19,1.34,2.20,1.53,2.73,,
May,2.09,3.05,3.18,2.12,2.49,1.02,3.48,3.70,2.81,1.82,,
June,4.93,2.29,2.46,2.20,1.38,0.90,1.67,5.13,0.45,2.00,,
July,2.18,3.07,4.16,5.95,1.93,1.00,1.92,1.05,3.13,2.34,,
August,4.97,3.83,3.11,3.81,2.62,3.70,5.10,3.04,2.49,2.40,,
September,1.77,1.30,1.51,4.08,1.10,2.14,0.95,0.58,3.06,2.26,,
October,6.43,3.82,3.50,8.04,0.85,2.48,5.45,6.06,3.32,3.65,,
November,5.50,6.15,1.55,1.93,1.94,4.13,3.99,2.05,1.59,0.75,,
December,4.02,4.92,4.83,2.68,2.25,1.22,1.24,3.12,1.28,3.21,,
Total,46.08,39.79,31.67,44.59,21.85,24.75,30.65,30.66,25.64,27.95,,
Calc annual,46.08,39.79,31.67,44.59,21.85,24.75,30.65,30.66,25.64,27.95,,
Difference,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
