BACUP HOLMES,,,,,,,,,,,,,,,,,,,,
Grid ref,SD866234,Long,-2.2044735,Lat,53.706852,Elevation,877,ft,,,,,,,,,,,,
Station no,RR6766,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,6.44,1.91,0.56,0.83,4.74,,,,,,,
February,,,,,,,,,2.78,4.05,4.35,6.71,4.24,,,,,,,
March,,,,,,,,,2.86,2.89,4.81,6.04,4.66,,,,,,,
April,,,,,,,,,2.13,2.63,2.6,2.22,6.8,,,,,,,
May,,,,,,,,,5.15,2.11,3.1,6.72,2.11,,,,,,,
June,,,,,,,,,4.77,8.04,4.04,3.05,7.15,,,,,,,
July,,,,,,,,,1.25,8.13,6.12,6.28,8.03,,,,,,,
August,,,,,,,,,7.1,7.92,2.61,7.48,5.9,,,,,,,
September,,,,,,,,,6.58,4.02,5.54,2.72,2.94,,,,,,,
October,,,,,,,,,5.37,3.53,3.9,4.25,4.78,,,,,,,
November,,,,,,,,,4.27,1.39,7.25,6.59,8.91,,,,,,,
December,,,,,,,,,3.44,4.02,8.69,7,6.23,,,,,,,
Total,,,,,,,,,52.14,50.64,53.57,59.89,66.49,,,,,,,
