HYTHE-BUTTS-ASH-LANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU422060,Long,-1.40173,Lat,50.85245,Elevation,130,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,642/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,2.17,2.74,2.19,3.01,0.78,5.42,6.91,4.15,5.59,3.19,3.81,4.29,5.74,2.42,2.07,3.64,3.64,6.34,0.92,,4.23,2.71,1.08,2.73,3.79,5.33,3.46,5.32,,
February,2.1,0.08,3.36,0.05,3.25,2.83,5.64,0.54,1.26,3.86,2.96,0.35,1.3,0.48,2.42,3.44,1.9,1.14,1.46,,6.22,0.76,1.5,3.65,2,0.18,4.57,3.2,,
March,1.02,1.32,3.79,3.01,0.88,2.32,3.55,0.34,1.11,3.5,3.94,3.13,0.76,0.21,0.93,1.25,7.57,1.13,1.52,,4.37,2.88,0.67,3.77,1.31,0.62,2.32,1.72,,
April,2.82,3.03,0.97,2.02,3.22,1.94,3.16,0.02,1.71,1,1.74,1.77,0.94,1.9,1.28,2.57,2.26,1.73,1.96,,3.31,2.36,1.95,0.25,0.41,1.96,0.05,0.72,,
May,3.08,5.24,1.7,0.89,0.99,0.64,2.79,1.36,1.26,0.55,2.02,2.66,3.36,0.67,2.22,4.01,1.29,3.76,2.49,,2.41,3.06,2.78,2.24,4.92,0.39,1.19,2.9,,
June,2.25,1.64,0.9,1.41,3.88,2.96,1.16,0.63,1.77,0.21,1.23,0.81,1.88,2.37,3.38,3.39,1.59,2.84,0.71,2.01,1.56,1.12,2.68,3.7,3.31,2.41,1.29,3.77,,
July,,3.77,1.95,0.88,2.82,4.98,1.36,2.25,4.6,4.23,1.97,1.11,3.03,3.28,2.35,0.95,1.24,1.04,0.38,3.77,2.19,0.53,4.13,3.13,0.92,2.62,4.07,2.19,,
August,,1.17,0.85,3.63,3.4,0.38,0.98,2.51,2.05,0.06,4.02,4.44,1.22,1.98,3.13,4.4,1.16,3.81,1.34,4.54,5.95,3.66,2.32,3.82,0.85,4.21,4.4,4.62,,
September,1.8,3.46,2.78,2.9,4.14,3.35,1.99,1.2,1.92,1.86,1.05,2.2,1.95,1.87,2.22,3.97,1.06,3.62,3.39,3.81,3.63,4.77,3.82,2.98,1.99,5.15,3.38,5.16,,
October,0.66,6.41,2.12,1.81,5.7,1.12,3.58,4.07,6.75,4.48,0.77,4.27,3.75,4.38,3.53,1.29,1.42,2.62,9.1,0.88,1.35,5.55,4.75,3.3,5.1,1.67,2.58,3.49,,
November,4.34,2.08,0.57,3.05,8.25,4.55,2.48,5.12,6.72,8.9,3.09,1.7,1.41,6.27,0.51,4.38,1.65,1.58,,6.09,9.75,4.06,1.51,6.88,3.07,0.72,2.93,2.68,,
December,0.65,1.51,0.79,10.01,4,3.61,5.47,3.74,2.07,2.46,2.33,4.26,2.29,2.76,5.38,3.65,3.4,4.98,,2.84,3.16,2.88,0.81,3.26,4.79,5.38,2.52,,,
Total,,32.45,21.97,32.67,41.31,34.1,39.07,25.93,36.81,34.3,28.93,30.99,27.63,28.59,29.42,36.94,28.18,34.59,,,48.13,34.34,28,39.71,32.46,30.64,32.76,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931 July Aug Adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949 Observer abroad and unable to find another observer Gauge stored,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950 May Readings started mid month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958 Dec Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ave based on 6 years 1951-1956 1.5in too high Rejected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
