BLANDFORD-MARKET-PLACE,,,,,,,,,,,,,,,,,,,,
Grid ref,ST884062,Long,-2.16555,Lat,50.85563,Elevation,120,ft,,,,,,,,,,,,
Station no,RR7790,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,1.83,5.29,6.32,4.92,5.57,5.01,1.75,3.07,8.04,,,,,,,
February,,,,,2.47,2.74,4.93,3.98,2.16,3.33,4.05,2.02,2.95,,,,,,,
March,,,,,4.04,1.76,2.27,4.4,2.56,2.56,1.77,2.9,4.14,,,,,,,
April,,,,,1.96,0.8,2.37,2.63,2.58,1.27,0.29,4.81,2.31,,,,,,,
May,,,,,1.18,2.76,1.5,1.69,1.67,5.61,1.21,0.84,2.37,,,,,,,
June,,,,,1.14,2.57,1.94,1.51,0.6,1.25,0.35,2.96,3.45,,,,,,,
July,,,,,0.49,1.69,1.84,4.26,0.51,0.39,1.29,4.37,4.49,,,,,,,
August,,,,,0.9,4.28,1.08,2,4.8,0.92,2.13,1.69,2.18,,,,,,,
September,,,,,1.67,0,8.45,2.86,5.39,5.3,1.33,4.63,1.4,,,,,,,
October,,,,,2.05,8.32,1.57,2.28,3.78,1.77,5.31,2.89,6.86,,,,,,,
November,,,,,4.3,5.74,2.46,1.22,2.91,1.98,2.6,1.46,6.29,,,,,,,
December,,,,,2.74,4.18,2.63,1.31,7.11,4.67,3.03,2.59,5.23,,,,,,,
Total,,,,,24.77,40.13,37.36,33.06,39.64,34.06,25.11,34.23,49.71,,,,,,,
