HORFIELD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST604767,Long,-2.57076,Lat,51.48799,Elevation,206,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,2190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,,4.92,1.93,4.42,2.93,3.07,0.89,3.62,3.85,4.64,5.7,2.61,3.76,,,,,,,,,
February,,,,,,,,,,,0.54,2.02,0.16,4.18,0.32,3.43,2.67,4.77,1.12,1.51,2.69,3.73,,,,,,,,,
March,,,,,,,,,,,2.48,0.87,2.57,3.12,2.27,0.79,2.75,3.29,0.36,1.64,2.76,3.33,,,,,,,,,
April,,,,,,,,,,,2.8,2.54,3.67,1.33,2.38,4.91,2.51,2.89,0.12,3,2.16,1.41,,,,,,,,,
May,,,,,,,,,,,1.3,3.63,6.47,2.22,1.61,1.4,0.64,2.59,2.21,1.01,2.55,1.86,,,,,,,,,
June,,,,,,,,,,,0.83,3.68,1.28,2.14,1.37,3.42,5.07,1.54,1.69,2.24,0.79,2.1,,,,,,,,,
July,,,,,,,,,,,2.64,4.14,3.11,1.84,0.66,0.73,6.09,4.39,3.98,4.42,7.07,1.85,,,,,,,,,
August,,,,,,,,,,,3.46,3.94,1.29,1.3,2.38,2.08,0.44,1.23,3.57,2.69,0.1,4.82,,,,,,,,,
September,,,,,,,,,,,4.11,2.81,5.8,3.05,2.67,7.71,3.47,2.05,2.16,0.87,1.35,,,,,,,,,,
October,,,,,,,,,,,3,0.89,6.78,3.22,2.37,6.76,1.69,3.19,6.48,2.36,4.09,,,,,,,,,,
November,,,,,,,,,,,4.64,4.36,2.13,0.83,1.3,6.31,3.95,1.86,4.51,6.26,7.87,,,,,,,,,,
December,,,,,,,,,,,3.44,2.23,1.88,1.14,6.72,4.27,3.32,2.2,3.66,2.15,1.51,,,,,,,,,,
Total,,,,,,,,,,,34.16,33.04,39.56,27.3,27.12,42.7,36.22,33.85,34.5,33.85,35.55,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941 Sep Gauge move,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
