LANGHOLM WESTWATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY304822,Long,-3.093076,Lat,55.129262,Elevation,550,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,-999,2.38,,1.36,4.7,6.6,9.85,4.1,6.1,5.12,3.7,3.6,9.15,3.2,4.7,1.83,6.6,3.3,,,5.55,10.3,6.95,3.3,4.65,8.9,4.46,2.73,7,-999,7.23,5.35,13.2,3.6,3.8,,,,,,,
February,,,,,,,,,-999,3.75,,5.25,5.6,4.5,5.5,8.8,2.55,3.35,0.9,2.12,1.2,0.75,1.95,7.27,12.32,1.25,,,4.65,3.3,3,3.1,2.35,7.18,3.2,2.58,3.8,-999,3.63,2.38,6.1,8.12,3.36,,,,,,,
March,,,,,,,,,2.25,3.5,,6.3,6.3,2.3,4.75,3.75,5.2,1.4,3.7,4.55,4.45,4.4,2.3,2.15,3.6,4.75,,,2.2,5.23,0.35,4.9,3.8,10.77,5.93,5.9,4.43,5.63,6.47,3.87,3.33,2.1,6.69,,,,,,,
April,,,,,,,,,3.65,1.75,,3.85,3.1,2.65,1.95,2.6,1.6,3.1,2.15,3,2.35,1.92,1.7,1.4,1.85,2.2,,,4.4,5.25,4.85,4.7,1.98,5.31,5.1,4.86,2.2,3.7,3.2,5.4,3.43,5.2,1,,,,,,,
May,,,,,,,,,4.85,3.06,,4.58,3.4,2.8,5.9,3.4,4.75,1.4,3.1,3.65,4.1,2.55,8.85,2.85,4.9,0.6,,,1.4,3.7,4.1,2.05,2.13,3.05,4.5,3.22,7.35,4.58,3.25,3.1,2.27,3.03,2.72,,,,,,,
June,,,,,,,,,3.65,7.25,,6.8,6.9,4.55,1.15,1.5,1.55,0.75,2.7,1.55,6.55,1.6,4.25,2.45,4.1,2.03,,,3.45,1.8,9.2,3.65,1.75,2.66,3.83,2.4,2.4,8.2,3.7,2.57,2.5,2.9,5.75,,,,,,,
July,,,,,,,,,1.56,6.15,,5.85,12.75,4.9,7.75,3.35,5,5.8,5.2,5.95,4.2,3.05,4.3,2.95,3.05,7.05,,,0.95,3.74,2.95,1.93,4.47,6.43,3.15,4.23,3.22,3.57,4.2,4.85,4.9,1.82,4.09,,,,,,,
August,,,,,,,,,4.95,6.56,,6.5,4.7,7.25,2.5,4.2,4,3.4,4.25,5.85,5.4,13.45,7.17,6.67,4.4,8.9,,,6.9,2,6.3,6.6,4.78,9.04,4.78,6.1,9.43,6.58,6.9,3.78,8.3,4.38,6.75,,,,,,,
September,,,,,,,,,6.2,8.05,,2.15,3.6,5.65,5.15,9.2,7.45,7.1,2.05,3.1,7.25,10.75,10.3,4.57,0.53,0.9,,,3.1,5.1,4.33,3.87,2.15,5.33,3.1,3.68,1.7,1.15,6.5,3.47,1.63,3.88,3.08,,,,,,,
October,,,,,,,,,4.12,2.75,,2.9,5,5.9,3.45,6.1,6.1,2.65,5.25,8.25,4,5.7,5.2,5.38,4.8,5.12,,,4.4,3.9,6.08,5.47,4.3,11.08,2.85,3.82,6.45,6.45,4.25,10.03,2.2,4.43,6.02,,,,,,,
