SOUTHAMPTON (REGENTS PARK),,,,,,,,,,,,
Grid ref,SU396134,Long,-1.438023,Lat,50.918708,,,,,,,
Station no,650/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.48,2.37,0.96,2.73,,,,,,,,
February,6.22,0.57,1.35,3.04,,,,,,,,
March,4.20,2.63,0.52,3.40,,,,,,,,
April,3.25,1.86,1.93,0.25,,,,,,,,
May,2.74,2.86,2.49,,,,,,,,,
June,0.98,1.06,2.54,,,,,,,,,
July,2.48,0.26,4.15,,,,,,,,,
August,4.48,3.55,1.96,,,,,,,,,
September,3.26,4.22,3.05,,,,,,,,,
October,1.02,5.07,4.74,,,,,,,,,
November,8.63,3.82,1.36,,,,,,,,,
December,2.79,2.57,0.75,,,,,,,,,
Total,43.53,30.84,25.80,,,,,,,,,
Calc annual,43.53,30.84,25.80,9.42,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
