"COULIN PASS",,,,,,,,,,,,
Grid ref,NH025501,Long,-5.297603,Lat,57.497928,,,,,,,
Station no,5792/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.90,8.10,9.85,9.50,5.45,8.85,17.50,11.00,8.40,7.15,,
February,5.70,8.70,9.15,5.50,4.70,8.05,6.20,7.95,7.10,7.50,,
March,5.05,6.15,4.10,6.50,1.60,1.35,8.45,3.10,5.45,1.50,,
April,7.80,4.10,5.90,5.90,6.25,5.35,3.50,6.10,7.90,7.40,,
May,1.20,5.10,5.15,4.95,5.50,8.15,2.30,10.20,4.60,3.35,,
June,3.83,5.60,1.35,8.00,6.90,3.25,5.15,3.20,7.15,1.70,,
July,9.42,7.30,9.45,6.50,1.60,7.45,6.15,3.55,12.85,4.65,,
August,7.80,9.85,7.90,3.95,3.24,7.00,9.30,5.30,9.70,7.15,,
September,7.20,9.50,10.20,12.00,11.50,6.00,9.50,4.35,6.30,5.00,,
October,6.10,9.86,8.45,15.10,12.40,11.20,15.15,14.35,13.25,2.00,,
November,7.90,8.34,16.60,9.20,3.95,13.08,7.80,3.45,10.20,5.85,,
December,14.70,9.90,9.50,15.85,9.85,17.35,14.15,5.70,10.15,12.50,,
Total,85.60,92.50,97.60,102.95,72.94,97.08,105.15,78.25,103.05,65.75,,
Calc annual,85.60,92.50,97.60,102.95,72.94,97.08,105.15,78.25,103.05,65.75,,
Difference,-0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,,
