BRENTWOOD SAWYERS HALL FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ593949,Long,0.300688,Lat,51.631207,Elevation,270,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,3.39,2.33,1.39,1.98,3.33,2.27,1.3,3.06,0.74,4.27,1.72,2.73,0.67,1.29,1.02,1.74,2.15,1.26,3.58,1.59,1,0.86,2.96,2.03,0.59,2.1,2.88,1.44,0.81,2.24,0.79,2.26
February,,,,,,,,,1.49,2.5,0.68,1.56,0.85,1,0.79,0.86,1.87,2.44,1.41,3.36,2.8,3.16,1.15,2.68,1.17,3.15,0.66,0.5,1.76,1.93,1.17,0,1.91,2.66,1.73,0.24,0.49,2.54,1.18,1.81
March,,,,,,,,,1.36,1,1.39,1.17,2.03,0.88,0.35,0.38,3.29,3.27,0.81,0.69,0.49,2.1,1.31,0.69,1.62,1.72,1.38,1.68,2.4,2.43,2.8,2.03,1.1,0.47,0.67,1.64,3.19,3.45,1.45,0.67
April,,,,,,,,,1.81,1.21,0.28,2.25,2,1.13,1.63,1.22,1.47,2.8,2.35,3.07,2.15,0.6,2.4,1.69,0.97,1.9,1.1,1.67,1.99,1.79,1.21,1.56,1.66,0,1.74,0.96,0.6,1.87,1.58,2.63
May,,,,,,,,,2.05,3.15,0.59,1.31,3.28,1.51,0.34,1.55,1.46,2.23,2.92,2.94,0.55,1.26,1.7,1.83,0.58,1.99,3.33,2.47,1.35,2.87,1.65,2.51,1.5,0.78,1.64,0.32,0.27,1.27,2.38,1.3
June,,,,,,,,,0.77,0.92,0.54,3.08,3.26,2.05,2.17,1.82,1.41,0.62,2.67,5.97,3.27,1.96,2.56,1.82,1.2,1.19,0.78,0.72,3.68,1.51,2.58,1,2.95,0.62,2.04,0.1,4.18,2.36,1.93,1.5
July,,,,,,,,,0.25,0.38,2.34,2.53,3.75,1.42,2.6,5.13,0.68,3.24,1.07,5.74,3.95,1.67,2.77,2.19,1.92,0.76,3.07,1.1,4.26,1.76,4.92,2.5,1.57,2.98,2.25,3.57,0.89,1.15,0.75,1.08
August,,,,,,,,,1.87,1.39,1.62,1.12,2.16,2.1,1.18,1.11,1.95,2.15,5.23,5.4,1.1,4.03,1.53,1.05,0.6,1.68,1.57,1.95,5.06,3.3,2.48,3.62,3.56,1.91,2.14,2.24,2.02,2.04,0.9,0.8
September,,,,,,,,,1.61,3.47,1.43,4.74,1.18,2.3,2.37,2.61,2.67,1.09,0.88,3.09,2.68,2.02,2.92,2.98,2.41,4.87,1.2,2.18,0.92,3.57,0.62,0.78,1.97,1.11,1.4,1.2,5.07,3.04,0.27,2.34
October,,,,,,,,,2.46,2.03,3.48,1.93,3.74,2.08,3.93,4.42,1.34,2.18,1.62,0.63,6.29,2.48,5.1,1.99,1.52,3.87,2.51,1.5,1.56,4.36,1.49,4.71,4.21,3.14,3.58,2.42,3.23,0.4,2.62,2.42
November,,,,,,,,,0.81,2.45,1.71,0.6,2.48,2.61,2.1,4.01,3.24,2.97,3.87,1.5,3.66,2.19,2.34,3.19,1.27,3.1,3.14,3.63,5.19,1.32,2.52,2.44,2.58,2.08,2.99,2.86,1.35,1.27,1.84,3.17
December,,,,,,,,,4.39,2.98,2.79,1.3,3.03,0.48,1.53,0.9,5.73,2.61,1.1,0.67,3.13,2.92,2.97,1.09,3.19,1.05,3.72,1.55,1.66,1.8,0.68,2.96,2.12,1.87,2.19,2.82,3.35,2.39,2.68,1.34
Total,,,,,,,,,22.26,23.81,18.24,23.57,31.09,19.83,20.29,27.07,25.85,29.87,25.65,35.79,30.74,25.68,27.77,22.94,18.6,26.54,26.04,20.54,30.83,27.5,25.08,26.14,25.72,19.72,25.25,19.81,25.45,24.02,18.37,21.32
