PORT PATRICK KILLANTRINGAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NW981564,Long,-5.147383,Lat,54.861529,Elevation,162,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,2.42,6.67,2.43,2.06,4.85,1.64,3.81,1.6,2.85,3.1,9.5,11.79,2.9,3.8,5.33,4.86,4.8,7.08,7.74,3.8,7.65,1.04,3.38,,,2.86,4.16,1.95,2.96
February,,2.04,3.49,5.02,5.55,3.93,4.13,2.4,3.25,4,8.05,4.95,4.65,2.94,7.2,9.85,4.57,3.13,7.85,2.25,3.15,1,5.1,7.37,1.14,4.37,,1.29,2.08,1.27,0.25
March,,3.05,2.77,6.31,3.53,4.85,2.99,4.28,7,4.6,2.7,1.2,6.3,5.54,6.16,3.1,1.01,1.94,2.33,7.73,6.04,2.5,0.8,0.77,0.85,,,2.31,2.58,0.58,1.41
April,,5.25,2.77,1.88,2.66,3.25,2.01,3,4,6,3.15,5.25,0.85,5.71,2.57,3.09,4.9,1.93,1.2,2.35,4.1,0.7,2.95,2.34,1.69,4.31,,1.91,1.96,0.69,1.19
May,,3.05,3.12,3.72,2.38,1.83,6.56,4.3,2,1.3,2.35,3.55,1.25,6.07,2.26,1.84,7.15,4.68,4.35,2.35,6.33,1.2,4,1.25,1.95,3.05,,0.59,1.64,2.2,1.38
June,,4.7,2.2,4.34,3.35,2.37,2.1,7.18,3,4.4,0.9,2.3,8.25,3.07,0.9,0.8,2.6,1.99,1.42,6,4.4,0.55,1.41,0.81,2.9,0.55,,1.38,3.52,1.74,1.78
July,,0.47,2.92,4.94,2.59,2.23,2.65,3.8,3.86,5.75,4.3,3.15,4.45,1.43,5.11,4.3,2.67,2.47,3.95,0.85,4.55,3.95,0.76,1.68,1.97,,,2.17,1.34,1.82,2.28
August,,5.72,3.21,6.21,5.67,5.64,4.26,6.76,2.4,2.55,7.5,2.75,5.9,1.17,6.53,1.29,3.48,2.48,5.1,4.3,5.3,4.3,2.56,4.55,6.2,2.35,,2.62,2.87,3.37,3.89
September,,5.31,5.66,3.96,5.72,1.55,1.46,2.2,7,1.6,2.65,3,3.9,3.98,1.2,0.87,1.82,2.6,7.05,4.53,3.08,2.57,2.17,1.7,4.45,,,5.22,1.33,1.03,3.52
October,,5.57,1.29,8.31,2.66,5.05,9,7.18,2.6,8.4,4.35,5.1,5.95,3.11,2.69,5.98,10.54,10.77,7.12,2.4,6.95,4.27,0.72,1.74,2.29,3.95,,3.58,4.35,3.45,3.91
November,,5.62,9.32,4,3.04,8.11,3.38,6.45,3.5,1.45,11.05,6,4.17,5.17,5.12,2.83,5.07,6.44,8.02,2.55,4.24,5.65,0.84,1.97,2.35,,,2.91,3.97,3.6,3.07
December,,5.85,5.18,3.22,5.49,2.91,5.72,5.1,7.35,8.05,9.85,15.3,8.59,4.25,11.31,10.83,5.17,5.37,7.92,16.2,7.9,2.95,1.76,6.59,4.15,3.91,,1.28,2.37,5.03,1.86
Total,,,44.35,58.58,45.07,43.78,49.11,54.29,49.77,49.7,59.7,55.65,63.76,54.23,53.95,48.58,54.31,48.66,61.11,58.59,63.78,33.44,30.72,31.81,33.32,,,28.12,32.17,26.73,27.5
