BURNLEY WW SWINDEN UPPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD893331,Long,-2.163911,Lat,53.794098,Elevation,820,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,
January,,0.29,5.09,6.42,5.88,2.54,6.84,2.68,2.2,1.98,6.18,2.82,3.71,1.46,4.85,4.08,1.9,1.98,3.77,7.21,5.78,2.74,3.96,4.73,4.73,2.01,6.72,2.11,3.76,2.57,5.81,2.48,5.43,5.38,4.22,6.7,4.29,3.12,3.07,6.03,5.04,8.32,4.55,4.83,3.44,4.51,5.74,4.65,11.19,2.47,7.61,5.98,5.84,3.8,,,,3.69,6,6.85,2.81,1.68,5.52,7.14,7.2,4.68,5.71,4.89,10.1,3,3.96,4.91,6.04,1.92,4.79,2.82,6.25,4.41,5.17,3.51,6.45,,,,,,,,,,,,,,,,,,,
February,,3.03,3.79,4.49,4.8,4.42,0.82,1.18,1.06,2.18,1,0.52,3.1,5.18,5.44,0.56,2.32,3.75,3.35,2.38,4.9,2.35,1.64,4.97,5.57,2.54,3.43,2.48,2.91,2.68,5.42,5.2,2.04,2.3,4.03,7.1,5.47,0.97,5.96,1.95,3.71,0.57,4.8,7.34,1.32,8.08,4.1,2.52,5.72,1,0.9,5.28,0.43,4.01,,,,5.88,2.06,4.8,1.84,7.01,2,3.37,2.64,5.58,6.77,2.57,3.3,3.95,5.89,4.66,1.65,2.53,4.11,2.82,1.68,4.42,7.5,0.66,4.14,,,,,,,,,,,,,,,,,,,
March,,2.55,4.9,1.4,3.63,3.13,3.58,2.03,3.6,3.58,3.55,2.23,1.33,1.13,3.83,4.04,5.45,5.88,2.29,2.93,0.97,3.57,2.94,6.87,2.79,3.72,3.26,3.46,3.93,3.38,1.3,2.24,5.65,6.54,5.13,2.18,3.99,3.28,1.93,6.5,4.32,3.73,3.54,2.1,1.52,1.76,2.12,4.42,4.44,1.18,3.31,0.49,2.99,2.68,,,,2.07,2.08,2.98,3.01,4.51,4.24,1.23,0.83,1.79,1.6,9.17,2.72,2.15,2.76,5.42,2.12,2.12,3.64,2.96,2.16,4.15,2.27,2.26,1.83,,,,,,,,,,,,,,,,,,,
April,,1.66,6.72,2.61,2.28,2.82,3.5,1.51,2.56,3.22,1.34,3.08,1.37,0.87,2.65,3.21,2.43,3.32,2.94,3.95,2.43,3.16,2.76,2.39,3,3.54,1.43,2.51,2.92,3.85,3.93,2.56,1.2,6.15,1.52,2.31,3.19,1.99,1.3,2.45,6.86,1.93,4.22,4.28,2.41,3.62,2.22,3.24,1.38,1.44,3.96,4.09,3.82,2.11,,,,3.39,0.89,2.21,3.62,2.61,2.12,2.52,2.89,2.65,1.27,5.02,2.9,4.12,3.24,2.84,3.33,3.98,0.79,2.57,4.32,0.33,1.38,3.87,3.42,,,,,,,,,,,,,,,,,,,
May,,3.39,2.4,1.31,1.95,2.92,4.83,2.24,1.31,2.67,2.69,3.46,4.98,2.64,2.66,0.82,0.87,2.32,3.46,3.08,2.42,1.34,3.44,3.35,3.3,0.96,3.76,4.03,2.92,2.47,2.74,3.14,2.73,4.5,2.36,1.77,3.17,2.09,2.55,1.94,5.88,2.93,2.21,4.04,5.13,4.52,3.93,1.47,1.72,3.24,2.81,2.8,4.84,2.72,,,,2.35,4.15,1.67,1.09,2.33,3.47,3.19,3.43,4.7,1.84,2.81,1.52,2.91,2.21,3,2.19,2.63,4.04,4.81,2.02,1.73,5.76,2.06,2.25,,,,,,,,,,,,,,,,,,,
June,,2.54,5.92,5.34,0.9,3.47,2.46,0.43,3.26,0.79,4.18,1.56,4.36,3.65,3.57,3.07,2.8,4.16,3.24,1.43,4.35,1.56,1.62,2.01,1.21,2.97,1.6,6.39,2.19,3.06,2.95,5.66,6.88,2.37,2.28,0.94,3.03,2.69,2.37,1.63,2.3,0.26,2.91,1.21,2.97,0.11,3.95,3.81,7.06,1.83,2.29,6.32,1.15,1.93,,,,1.95,4.41,3.23,0.89,0.5,1.4,3.5,4.05,4.46,3.19,3.2,5.58,0.72,2.86,1.63,3.31,3.61,2.9,3.26,2.83,2.12,5.61,3.77,1.18,,,,,,,,,,,,,,,,,,,
July,,5.94,6.99,3.43,5.72,1.82,3.99,3.02,5.34,3.97,3.23,4.24,2.02,4.7,4.63,5.95,2.13,2.12,1.12,2.56,3.86,1.83,3.55,4.26,3.18,2.28,2.12,2.6,5.03,6.31,4.07,0.49,5.54,1.72,3.82,4.87,2.97,1.82,3.54,2.59,6.96,2.4,5.29,5.49,4.33,1.89,2.7,4.14,1.86,2.96,5.93,4.2,4.44,3.23,,,,1.88,4.99,7.02,4.81,1.84,5.28,3.05,3.19,2.85,3.82,3.93,2.09,2.32,5.35,4.28,3.06,6.86,5.45,1.08,5.1,5.52,3.74,3.03,7.17,,,,,,,,,,,,,,,,,,,
August,,5.38,3.69,2.79,1.93,1.77,2.03,1.75,3.84,5.83,6.23,8.92,5.35,5.25,5.13,5.02,2.41,6.63,5.01,1.63,5.62,2.45,3.09,5.06,5,5.28,4.46,4.41,4.52,3.32,6.54,2.61,7.46,2.62,2.95,4.81,3.86,8.36,3.56,3.68,2.17,6.33,6.44,6.19,6.35,4.49,4.26,7.14,6.84,4.13,7.98,5.14,1.39,1.57,,,,2,5.55,3.38,2.43,5.56,3.74,6.61,3.86,3.96,7.48,0.25,4.59,4.51,6.76,4.94,6.04,6.21,8.72,1.38,12.26,6.77,4.6,0.99,6.73,,,,,,,,,,,,,,,,,,,
September,,2.26,2.67,7.21,2.94,5.22,3.68,5.51,1.1,2.84,3.09,3.69,3.94,5.31,0.26,1.97,7.47,5.31,1.49,7.08,1.6,1.53,1.69,5.83,1.56,2.84,1.39,0.85,4.48,2.46,0.51,3.84,2.43,1.55,3.06,0.96,2.18,2.52,11.12,1.97,2.87,2.19,4.32,6.26,5.53,3.88,3.5,6.25,1.02,1.74,4.21,4.75,6.33,2.72,,,,2.21,2.03,1.56,3.97,0.7,2.9,4.62,6.83,2.88,8.21,3.17,3.04,1.26,7.62,2.74,4.44,4.86,5.89,3.59,4.38,6.62,5.6,0.26,3.06,,,,,,,,,,,,,,,,,,,
October,,3.77,4.43,5.19,2.67,7.54,6.32,2.98,2.17,5.44,2.98,5.63,7.02,4.31,5.22,4.86,5.15,2.11,5.39,3.3,5.57,3.69,4.8,10.87,1.77,3.62,7.05,6.01,1.9,5.22,3.98,4.2,4.83,2.22,2.85,1.65,8.86,7.54,4.06,3.11,2.97,3.04,1.53,5.94,4.74,6.24,3.47,4.99,6.55,6.11,7.06,2.61,6.97,4.78,,,,2.59,10.18,2.41,4.72,5.05,7.98,3.05,5.11,6.37,1.2,1.36,2.57,5.94,2.94,1.47,5.63,2.61,8.18,3.55,2.49,5.78,4.17,5.86,6.05,,,,,,,,,,,,,,,,,,,
November,,6,7.17,4.65,1.65,3.68,3.91,3.45,8.52,1.86,7.55,4.87,2.36,3.44,3.72,5.14,2.22,4.53,3.22,2.55,3.89,6.22,3.35,2.86,3.31,5.27,5.17,2.26,3.32,1.71,5.28,5.08,4.26,5.67,7.02,2.53,4.34,3.97,3.18,4.2,2.77,2.39,3.01,7,2.82,2.93,8.27,5.14,6.7,8.98,6.74,8.14,3.14,3.29,,,,2.35,7.42,7.44,7.77,3.1,1.27,3.53,8.47,0.58,7.14,6.47,2.69,7.1,6.61,10.24,2.76,5.69,8.58,3.21,1.87,2.72,1.8,6.21,8.48,,,,,,,,,,,,,,,,,,,
December,,4.93,3.69,3.47,5.62,2.1,6.61,3.06,3.42,3.16,0.87,8.88,2.46,5.12,4,4.67,5.94,6.24,5.7,3.53,5.12,5.51,4.57,3.03,3.26,1.13,3.89,4.81,3.19,5.42,6.07,8.57,5.33,3,8.28,8.04,4.28,3.1,7.78,6.97,3.72,6.75,5.57,4.36,6.68,4.18,1.96,1.61,3.24,10.67,5.32,2.49,2.42,0.7,,,,2.73,5.7,3.11,4.81,3.09,4.5,2.85,5.41,3.22,4.87,4.08,4.67,7.71,3.46,10.14,4.88,2.24,8.25,6.35,6.41,6.75,5.22,9.14,5.81,,,,,,,,,,,,,,,,,,,
Total,,41.74,57.46,48.31,39.97,41.43,48.57,29.84,38.38,37.52,42.89,49.9,42,43.06,45.96,43.39,41.09,48.35,40.98,41.63,46.51,35.95,37.41,56.23,38.68,36.16,44.28,41.92,41.07,42.45,48.6,46.07,53.78,44.02,47.52,43.86,49.63,41.45,50.42,43.02,49.57,40.84,48.39,59.04,47.24,46.21,46.22,49.38,57.72,45.75,58.12,52.29,43.76,33.54,,,,33.09,55.46,46.66,41.77,37.98,44.42,44.66,53.91,43.72,53.1,46.92,45.77,45.69,53.66,56.27,45.45,45.26,65.34,38.4,51.77,51.32,52.82,41.62,56.57,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1887 Apr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
