"BURNLEY W.W. (SWINDEN) UPPER G",,,,,,,,,,,,
Grid ref,SD893331,Long,-2.163911,Lat,53.794098,,,,,,,
Station no,2967,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.91,6.04,1.92,4.79,2.82,6.25,4.41,5.17,3.51,6.45,,
February,4.66,1.65,2.53,4.11,2.82,1.68,4.42,7.50,0.66,4.14,,
March,5.42,2.12,2.12,3.64,2.96,2.16,4.15,2.27,2.26,1.83,,
April,2.84,3.33,3.98,0.79,2.57,4.32,0.33,1.38,3.87,3.42,,
May,3.00,2.19,2.63,4.04,4.81,2.02,1.73,5.76,2.06,2.25,,
June,1.63,3.31,3.61,2.90,3.26,2.83,2.12,5.61,3.77,1.18,,
July,4.28,3.06,6.86,5.45,1.08,5.10,5.52,3.74,3.03,7.17,,
August,4.94,6.04,6.21,8.72,1.38,12.26,6.77,4.60,0.99,6.73,,
September,2.74,4.44,4.86,5.89,3.59,4.38,6.62,5.60,0.26,3.06,,
October,1.47,5.63,2.61,8.18,3.55,2.49,5.78,4.17,5.86,6.05,,
November,10.24,2.76,5.69,8.58,3.21,1.87,2.72,1.80,6.21,8.48,,
December,10.14,4.88,2.24,8.25,6.35,6.41,6.75,5.22,9.14,5.81,,
Total,56.27,45.45,45.26,65.34,38.40,51.77,51.32,52.82,41.62,56.57,,
Calc annual,56.27,45.45,45.26,65.34,38.40,51.77,51.32,52.82,41.62,56.57,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,,
