GRINGLEY CARR (PUMPING STATION),,,,,,,,,,,,
Grid ref,SK779951,Long,-0.828556,Lat,53.446918,,,,,,,
Station no,2643/1/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.69,1.66,0.96,1.19,,,,,,,,
February,2.65,0.44,1.58,,,,,,,,,
March,2.52,1.99,0.77,,,,,,,,,
April,0.66,0.76,1.80,,,,,,,,,
May,3.30,1.33,1.73,,,,,,,,,
June,0.69,2.39,1.60,,,,,,,,,
July,0.53,1.21,2.24,,,,,,,,,
August,4.69,0.95,2.68,,,,,,,,,
September,1.32,1.87,0.92,,,,,,,,,
October,1.45,2.14,1.93,,,,,,,,,
November,5.23,1.93,1.13,,,,,,,,,
December,1.25,1.23,1.12,,,,,,,,,
Total,25.98,17.90,18.46,,,,,,,,,
Calc annual,25.98,17.90,18.46,1.19,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
