GRINGLEY-CARR-PUMPING-STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK777951,Long,-0.83156665,Lat,53.446947,Elevation,21,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2643/1/9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,4.19,2.11,2.72,2.3,3.53,2.2,2.14,1.69,2.02,3.72,0.9,1.08,1.69,1.66,0.96,1.19,,,,,,
February,,,,,,,,1.11,0.97,1.93,2.82,0.99,0.79,2.19,1.36,2.42,1.53,1.04,0.57,3.52,2.65,0.44,1.58,,,,,,,
March,,,,,,,,0.25,1.74,1.57,3.3,1.38,0.47,0.36,0.49,1,3.92,0.52,1.28,0.98,2.52,1.99,0.77,,,,,,,
April,,,,,,,,0.18,1.26,1.42,0.95,1.01,0.8,2.52,1.36,1.09,2.06,0.87,1.51,2.94,0.66,0.76,1.8,,,,,,,
May,,,,,,,,3.38,1.09,0.58,1.57,2.87,2.09,1.93,1.59,1.21,1,1.67,1.48,2.06,3.3,1.33,1.73,,,,,,,
June,,,,,,,,1.55,1.85,0.88,0.42,1.69,1.77,1.77,2.01,3.43,2.28,2.38,1.06,1.29,0.69,2.39,1.6,,,,,,,
July,,,,,,,,4.21,3.41,4.15,3.27,1.49,1.4,1.81,1.39,2.45,1.49,1.13,3.01,2.13,0.53,1.21,2.24,,,,,,,
August,,,,,,,,2.77,2.75,0.6,2.36,2.37,1.38,4.42,3.3,4.73,0.29,2.87,2.13,2.33,4.69,0.95,2.68,,,,,,,
September,,,,,,,,1.68,1.44,0.63,0.46,1.16,2.43,4.24,0.94,3,1.07,1.72,0.59,2.92,1.32,1.87,0.92,,,,,,,
October,,,,,,,,2.35,3.47,3.32,2.42,1.61,1.41,2.17,2.07,1.19,0.6,1.5,2.68,0.78,1.45,2.14,1.93,,,,,,,
November,,,,,,,,1.95,3.72,4.46,3,1.37,1.62,3.6,0.5,4.28,1.05,1.25,3.31,3.43,5.23,1.93,1.13,,,,,,,
December,,,,,,,,3.55,2.07,2.03,0.4,1.49,0.62,1.44,1.34,2.39,1.93,2.57,1.77,1.43,1.25,1.23,1.12,,,,,,,
Total,,,,,,,,,27.96,23.68,23.69,19.73,18.31,28.65,18.49,28.88,19.24,21.24,20.29,24.89,25.98,17.9,18.46,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Originally known as MISTERTON (SOSS PUMPING STATION),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938 Jan estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
