"STRATHCONAN DALBREAC",,,,,,,,,,,,
Grid ref,NH306548,Long,-4.832638,Lat,57.551472,,,,,,,
Station no,RR2034,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,10.15,2.35,5.83,8.72,6.56,6.85,7.45,4.75,2.96,2.23,,
February,2.45,4.32,1.70,7.05,3.95,4.70,2.96,4.81,4.76,2.35,,
March,4.14,4.63,7.73,7.47,1.34,5.33,8.45,1.68,4.98,0.38,,
April,5.01,1.70,2.05,1.47,9.09,4.36,2.78,1.00,2.88,3.41,,
May,1.85,1.23,3.81,2.20,4.46,2.73,4.39,2.30,1.43,3.48,,
June,3.27,3.15,2.02,1.19,1.60,0.95,1.00,3.49,2.08,2.91,,
July,2.77,2.42,2.33,5.17,0.31,2.39,3.70,3.22,2.27,2.57,,
August,3.78,4.32,2.58,6.76,3.74,3.74,3.77,3.77,1.82,2.43,,
September,4.15,1.55,3.13,2.78,1.79,3.99,2.00,0.30,3.42,2.23,,
October,6.77,3.50,3.72,9.96,3.48,4.88,5.64,2.43,0.73,4.20,,
November,5.21,4.26,1.95,5.85,4.91,5.69,7.96,2.39,4.78,4.27,,
December,11.55,6.18,5.03,1.09,4.58,3.35,7.05,1.94,3.90,1.70,,
Total,61.10,39.61,41.88,59.71,45.81,48.96,57.15,32.08,36.01,32.16,,
Calc annual,61.10,39.61,41.88,59.71,45.81,48.96,57.15,32.08,36.01,32.16,,
Difference,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,,
