STRATHCONAN DALBREAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NH306548,Long,-4.832638,Lat,57.551472,Elevation,450,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,5.13,2.6,4.87,0.3,7.37,5.07,10.33,2.54,6.96,4.99,2.95,3.43,11.72,5.1,7.39,5.87,7.35,4.58,6,1.7,4.72,3.79,January,10.15,2.35,5.83,8.72,6.56,6.85,7.45,4.75,2.96,2.23,4.15,,,,,,,,,
February,,,,,,,,,3.36,2.28,5.37,3.91,6.71,5.36,5.21,5.74,2.02,4.57,2.43,5.75,1.5,3.09,4.13,5.34,12.19,3.37,1.98,3.95,10.91,2.11,February,2.45,4.32,1.7,7.05,3.95,4.7,2.96,4.81,4.76,2.35,3.15,,,,,,,,,
March,,,,,,,,,8.09,5.35,3.3,5.55,10.7,2.62,3.96,4.19,2.38,2.6,4.06,3.86,6.04,6.2,1.42,3.78,7.33,4.22,8.1,6.18,4.97,2.87,March,4.14,4.63,7.73,7.47,1.34,5.33,8.45,1.68,4.98,0.38,1.75,,,,,,,,,
April,,,,,,,,,0.97,1.83,2.62,2.22,4.97,2.31,1.27,1.82,3.18,2.25,4.35,3.1,3.63,0.94,3.82,2.35,0.63,3.01,5.33,2.92,5.05,5.78,April,5.01,1.7,2.05,1.47,9.09,4.36,2.78,1,2.88,3.41,2.4,,,,,,,,,
May,,,,,,,,,4.09,3.7,2.71,4.1,2.55,2.22,4.19,5.03,2.41,1.9,4.17,1.67,1.38,3.88,3.32,2.38,4.74,2.28,1.26,4.19,3.71,2.64,May,1.85,1.23,3.81,2.2,4.46,2.73,4.39,2.3,1.43,3.48,2.45,,,,,,,,,
June,,,,,,,,,2.38,3.03,2.4,2.23,3.61,1.73,1.99,1.93,4.04,1.03,4.82,1.07,3.58,0.94,2.56,1.72,3.27,5.71,5.03,2.39,3.31,0.92,June,3.27,3.15,2.02,1.19,1.6,0.95,1,3.49,2.08,2.91,1.3,,,,,,,,,
July,,,,,,,,,1.42,6.19,5.07,4.81,3.65,3.77,3.82,0.68,4.2,3.17,3.07,2.81,3.99,2.87,2.78,2.86,2.98,5.5,2.55,4.3,2.38,4.06,July,2.77,2.42,2.33,5.17,0.31,2.39,3.7,3.22,2.27,2.57,1.11,,,,,,,,,
August,,,,,,,,,3.93,4.1,1.26,3.15,2.73,5.99,2.81,1.63,1.69,3.06,3.3,7.38,5.33,2.68,4.09,3.28,4.37,6.6,3.15,2.98,5.95,1.21,August,3.78,4.32,2.58,6.76,3.74,3.74,3.77,3.77,1.82,2.43,2.6,,,,,,,,,
September,,,,,,,,,8.03,3.78,2.09,1.93,3.65,5.75,3.44,6.63,3.52,6.2,0.82,2.73,2.09,3.54,5.5,7.16,0.43,3.25,6.57,5.42,4.61,8.3,September,4.15,1.55,3.13,2.78,1.79,3.99,2,0.3,3.42,2.23,0.43,,,,,,,,,
October,,,,,,,,,5.87,3.52,3.51,5.98,0.91,6.29,6.78,9.05,4.93,2.37,5.44,1.25,8.2,3.42,5.17,9.79,1.42,5.15,7.01,4.23,3.75,4.42,October,6.77,3.5,3.72,9.96,3.48,4.88,5.64,2.43,0.73,4.2,,,,,,,,,,
November,,,,,,,,,5.54,3.63,6.98,7.17,7.89,9.15,7.71,4.97,5.21,4.18,8.74,3.56,5.42,3.92,2.65,8.19,3.01,5.41,1.53,4.15,8.44,6,November,5.21,4.26,1.95,5.85,4.91,5.69,7.96,2.39,4.78,4.27,,,,,,,,,,
December,,,,,,,,,4.13,3.84,6.36,5.1,4.19,7.99,9,7.01,7.09,5.36,2.59,3.06,1.1,5.48,4.56,10.47,7.99,7.32,4.31,8.91,9.44,4.03,December,11.55,6.18,5.03,1.09,4.58,3.35,7.05,1.94,3.9,1.7,,,,,,,,,,
Total,,,,,,,,,52.94,43.85,46.54,46.45,58.93,58.25,60.51,51.22,47.63,41.68,46.74,39.67,53.98,42.06,47.39,63.19,55.71,56.4,52.82,51.32,67.24,46.13,Total,61.1,39.61,41.88,59.71,45.81,48.96,57.15,32.08,36.01,32.16,,,,,,,,,,
