"GRIMSBY (LITTLE COATES P.S.)",,,,,,,,,,,,
Grid ref,TA253086,Long,-0.109828,Lat,53.559070,,,,,,,
Station no,2574/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.13,1.93,1.11,1.78,1.57,5.87,1.93,2.05,2.55,4.27,,
February,3.00,0.68,1.89,2.52,2.29,1.67,2.03,4.45,0.25,2.26,,
March,2.53,2.50,0.65,1.86,2.41,0.67,1.00,2.28,1.56,1.26,,
April,1.29,1.13,2.40,0.40,0.71,1.30,0.30,1.05,1.83,1.21,,
May,4.16,1.59,2.72,2.26,-999.00,0.66,1.42,2.28,0.36,0.65,,
June,1.39,2.06,2.42,2.26,2.38,2.70,2.03,5.19,0.93,0.28,,
July,1.61,0.47,1.55,2.43,0.49,4.67,2.96,4.27,2.25,2.51,,
August,4.13,1.79,2.39,4.66,0.72,3.83,2.96,1.82,0.76,3.13,,
September,1.32,3.52,1.11,2.49,1.45,2.03,3.84,2.01,0.19,2.28,,
October,1.32,2.84,2.32,3.18,1.42,1.42,1.17,1.55,1.57,7.64,,
November,3.32,2.67,1.33,3.99,0.96,1.13,2.39,0.75,2.83,3.32,,
December,1.58,1.76,1.09,2.48,2.14,1.41,2.09,2.63,4.14,3.45,,
Total,27.78,22.94,20.98,30.31,20.07,27.36,24.12,30.33,19.22,32.26,,
Calc annual,27.78,22.94,20.98,30.31,16.54,27.36,24.12,30.33,19.22,32.26,,
Difference,0.00,0.00,0.00,-0.00,3.53,0.00,0.00,0.00,0.00,-0.00,,
