GRIMSBY - LITTLE COATES PUMPING STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TA253086,Long,-0.110,Lat,53.559,Elevation,14,ft,,,,,,,,,,,,,,,,,,,,
Station no,2574/5,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,1.52,2.24,3.89,3.13,1.63,3.74,2.01,3.06,2.93,3.68,2.74,2.70,2.27,2.25,4.79,1.17,1.16,2.13,1.93,1.11,1.78,1.57,5.87,1.93,2.05,2.55,4.27
February,,1.27,2.60,3.05,2.05,1.05,0.74,1.78,2.92,0.81,0.60,3.07,1.67,2.64,2.35,1.18,0.62,4.20,3.00,0.68,1.89,2.52,2.29,1.67,2.03,4.45,0.25,2.26
March,,2.30,0.60,0.72,2.50,0.37,1.99,1.63,3.52,1.05,0.32,0.74,0.72,1.22,4.22,0.68,0.83,0.73,2.53,2.50,0.65,1.86,2.41,0.67,1.00,2.28,1.56,1.26
April,,1.65,2.51,1.68,3.15,0.23,1.87,1.14,0.99,1.23,0.97,1.97,1.89,0.93,1.67,3.09,2.24,3.25,1.29,1.13,2.40,0.40,0.71,1.30,0.30,1.05,1.83,1.21
May,1.84,0.94,0.41,1.83,3.68,2.27,1.26,2.51,1.30,2.82,2.50,1.85,1.47,1.56,0.49,1.63,1.25,2.56,4.16,1.59,2.72,2.26,3.53,0.66,1.42,2.28,0.36,0.65
June,0.99,1.30,2.07,4.40,1.11,1.50,3.99,0.90,0.50,1.61,1.99,2.17,1.68,2.33,2.21,4.02,0.43,1.63,1.39,2.06,2.42,2.26,2.38,2.70,2.03,5.19,0.93,0.28
July,1.61,0.87,0.28,4.24,2.17,3.37,2.80,6.54,4.35,2.11,0.93,3.07,1.57,3.03,1.09,0.90,3.05,2.72,1.61,0.47,1.55,2.43,0.49,4.67,2.96,4.27,2.25,2.51
August,0.53,2.28,1.36,1.40,0.94,3.12,2.07,1.06,2.19,0.93,2.07,3.20,3.32,3.28,0.09,2.97,1.56,2.44,4.13,1.79,2.39,4.66,0.72,3.83,2.96,1.82,0.76,3.13
September,2.96,1.83,5.44,1.76,1.34,2.97,1.31,1.05,0.98,2.07,2.30,3.60,1.05,4.01,0.81,2.28,0.96,2.72,1.32,3.52,1.11,2.49,1.45,2.03,3.84,2.01,0.19,2.28
October,4.28,1.27,3.69,1.85,2.11,2.57,3.56,3.18,2.89,1.69,0.94,2.73,1.63,2.36,0.57,1.70,2.59,1.22,1.32,2.84,2.32,3.18,1.42,1.42,1.17,1.55,1.57,7.64
November,2.19,1.83,3.86,2.79,2.65,2.27,4.31,4.38,2.55,2.32,2.21,4.35,1.04,4.84,1.37,0.81,2.78,4.35,3.32,2.67,1.33,3.99,0.96,1.13,2.39,0.75,2.83,3.32
December,0.63,3.23,2.42,1.32,3.79,4.31,2.08,1.54,0.44,1.95,1.02,1.48,1.86,2.04,2.73,2.78,1.86,2.61,1.58,1.76,1.09,2.48,2.14,1.41,2.09,2.63,4.14,3.45
Total,,20.29,27.48,28.93,28.62,25.66,29.72,27.72,25.69,21.52,19.53,30.97,20.60,30.51,19.85,26.83,19.34,29.59,27.78,22.94,20.98,30.31,20.07,27.36,24.12,30.33,19.22,32.26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_15_pt1/170,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_17_pt1/256,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_15_pt1/260,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The station continued until 2003 according to MIDAS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
