WIMBORNE-PARK-HOMER,,,,,,,,,,
Grid ref,SU031010,Long,-1.95737,Lat,50.80902,Elevation,211,ft,,
Station no,RR8530,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,4.75,2.44,1.15,2.78,4.59,1.06,7.94,,1.06,
February,5.41,2.24,2.33,1.98,4.44,0.71,3.35,,1.29,
March,1.23,2.93,2.2,3.76,1.67,5.33,1.17,,2.91,
April,1.53,2.5,1.7,2.95,1.44,1.85,1.54,,2.18,
May,1.71,1.04,2.02,3.85,2.78,1.1,3.08,,2.57,
June,2.41,1.42,3.53,3.1,1.03,2.88,1.43,,0.49,
July,0.57,2.85,1.89,3.66,2.95,0.71,2.15,,1.75,
August,3.39,2.28,4.72,4.4,4.78,3.69,1.05,,3.83,
September,0.74,3.33,2,2.41,2.43,2.12,0.98,,2,
October,3.05,3.43,2.6,9.87,2.74,2.59,6.92,,1.83,
November,4.94,0.51,4.69,2.15,1.69,4.88,4.77,,0.99,
December,5.75,4.78,1.61,3,4.43,0.78,1.75,,3.7,
Total,35.48,29.75,30.44,43.91,34.97,27.7,36.13,,24.6,
