GUERNSEY YORK PLACE (overlap gauge),,,,,,,,,,,,,,,,,
Grid ref,WV330786,Long,-2.54358,Lat,49.45990,Elevation,200,ft,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856
January,,,,,,,,2.58,,,,,,,,,
February,,,,,,,,2.57,,,,,,,,,
March,,,,,,,,1.48,,,,,,,,,
April,,,,,,,,1.62,,,,,,,,,
May,,,,,,,,2.9,,,,,,,,,
June,,,,,,,,1.26,,,,,,,,,
July,,,,,,,,1.74,,,,,,,,,
August,,,,,,,,1.36,,,,,,,,,
September,,,,,,,,1.58,,,,,,,,,
October,,,,,,,,3.77,,,,,,,,,
November,,,,,,,,2.38,,,,,,,,,
December,,,,,,,,3.65,,,,,,,,,
Total,,,,,,,,26.89,,,,,,,,,
