GUERNSEY YORK PLACE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,,Long,-2.5352,Lat,49.4584,Elevation,204,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,3.28,4.13,3.6,6.49,2.58,3.12,4.16,2.99,5.44,5.43,5.35,3.31,1.03,4.46,5.12,1,2.48,6.6,1.24,2.31,3.81,2.51,7.77,7.91,5.48,4.09,3.86,3.45,5.91,6.11,6.63,1.94,5,1.6,6.69,2.58,6.43,1.09,4.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,3.11,5.11,2.46,2.1,2.84,5.36,1.7,2.66,0.88,1.02,3,0.84,2.87,1.92,0.5,1.43,3.26,2.1,3.48,1,1.09,2.06,4.21,5.78,2.21,1.33,3.14,1.88,2.05,2.77,3.31,2.41,3.27,3.34,1.93,2.06,5.11,4.56,4.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,1.27,4.73,1.34,3.86,1.52,4.55,1.26,0.9,5.86,1.02,1.62,0.36,3.04,0.83,1.56,2.1,1.69,2.2,3.35,5.73,2.69,4.69,2.86,2.49,6.44,1.81,2.85,2.55,1.13,4.41,3.85,0.85,0.66,5.25,2.58,1.57,1.29,1.37,2.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,4.76,0.49,1.95,3.9,1.67,4.08,3.71,4.37,1.87,0.82,2.77,0.23,0.25,4.09,3.63,1.67,3.07,2.5,0.37,1.48,0.85,0.96,2.04,2.17,2.07,2.92,2.21,0.76,3.45,2.4,0.47,3.62,1.14,1.99,5.14,4.06,2.7,2.84,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,4.38,0.35,1.47,3.22,2.75,0.9,2.36,1.6,1.39,2.68,1.34,4.11,2.98,3.06,1.29,1.86,2.98,4,1.65,2.36,2.87,0.82,2.69,2.46,2.23,2.48,4.62,1.65,0.73,4.05,1.64,0.94,1.3,0.49,2.73,3.6,3.26,0.03,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,3.36,0.46,1.72,2.04,1.4,4.87,1.14,1.2,0.77,3.58,2.7,3.29,2.8,1.92,1.8,0.56,2.28,5,2.49,1.95,2.77,2.49,0.44,1.61,0.83,0.43,1.24,0.21,2.51,3.13,1.62,1.13,2.59,1.03,0.92,2.9,4.79,1.75,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,0.81,1.09,3.99,2.19,1.75,3.83,2.47,1.49,1.49,3.47,2.21,1.02,4.28,2.76,1.35,3.12,1,1.7,2.68,1.86,1.22,1.08,2.16,1.63,4.18,0.39,0.12,1.26,3.97,4.53,3.34,1.85,2.84,0.51,2.88,2.94,3.13,2.4,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,3.58,1.33,1.67,2.22,1.27,3.64,0.47,4.1,1.09,3.44,3.26,1.48,0.55,2.42,1.21,0.79,1.31,6,0.85,1.13,2.66,2.57,3.46,3.76,1.06,3.84,0.63,1.01,1.43,2.19,5.09,1.67,1.23,3.36,2.39,2.75,5.23,1.17,5.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,0.62,1.35,4.96,2.44,1.67,1.96,2.21,3.21,0.63,5.4,4.18,1.25,2.64,3.71,4.55,2.59,6.82,3.8,3.66,1.27,4.49,4.33,0.25,9.39,3.91,2.04,3.03,0.66,5.31,2.14,2.34,2.68,2.94,3.77,1.83,3.14,5.05,5.41,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,6.15,3.76,2.02,6.94,3.73,8.6,5.59,4.64,4.76,7.54,4.25,7,6,2.66,5.69,1.8,6.22,3.3,1.19,6.89,5.22,1.5,9.05,1.29,4.29,4.28,2.74,5.35,5.55,11.04,2.51,6.82,6.15,3.42,3.67,3.94,1.99,10.45,2.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,5.08,4.05,4.41,3.55,2.97,2.49,4.05,4.52,3.96,8.35,2.3,4.1,2.01,1.57,3.86,3.34,7.12,4.2,7.83,3.76,4.15,7,6.49,2.7,0.89,2.49,3.23,3.7,1.62,7.4,5.87,3.57,6.13,5.48,7.84,9.08,1.64,6.87,5.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,1.31,0.8,3.74,3.62,5.06,4.62,7.27,3.86,1.18,6.38,2,3,1.97,4.96,1.35,5.29,5.18,6.6,2.43,2.76,2.98,2.65,1.93,3.23,3.48,8.66,5.32,2.57,2.6,6.79,1.05,7.9,2.39,11.47,3.82,5.11,0.95,6.95,4.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,37.71,27.65,33.33,42.57,29.21,48.02,36.39,35.54,29.32,49.13,34.98,29.99,30.42,34.36,31.91,25.55,43.41,48,31.22,32.5,34.8,32.66,43.35,44.42,37.07,34.76,32.99,25.05,36.26,56.96,37.72,35.38,35.64,41.71,42.42,43.73,41.57,44.89,38.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
