BRIDGE OF LEE,,,,,,,,,,
Grid ref,NO395803,Long,-2.995138,Lat,56.910062,Elevation,920,ft,,
Station no,5611/6,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,1.04,,,,5.9,5.55,5.1,6.05
February,,,2.62,,,,5.43,4.2,1.15,8.8
March,,,0.64,,,,3.62,8.95,3.5,3.6
April,,,3.78,,,,1.9,2.95,4.15,5.3
May,,4.58,2.89,,,,3.4,5.15,1.6,2.35
June,,3.59,4.84,,,,2.79,2.95,2.1,1.95
July,,2.31,5.29,,,,7.35,5.2,4.1,4.75
August,,3.47,2.24,,,,6.4,4.2,2.65,5.9
September,,2.36,4.6,,,,2.11,4.95,0.8,4.6
October,,7.77,3.48,,,,2.42,4.05,5.9,12.95
November,,3.42,4.49,,,1.75,2.6,1.4,10.35,8.35
December,,4.09,5.41,,,10.65,5.63,6.3,12.15,3.65
Total,,,41.32,,,,49.55,55.85,53.55,68.25
,,,,,,,,,,
Station no,5611/6,,,,,,,,,
Midas,15004,,,,,,,,,
Hyd Stn,851892,,,,,,,,,
