ALLT NA LAIRIGE,,,,,,,,,,,,
Grid ref,NN252171,Long,-4.827630,Lat,56.313971,,,,,,,
Station no,5428/6/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,14.02,9.24,13.35,13.00,8.81,12.00,16.57,13.70,3.96,7.86,,
February,8.17,10.79,11.37,10.17,6.89,5.77,8.87,6.84,5.54,9.85,,
March,8.29,8.80,4.38,13.61,2.81,6.10,12.55,3.45,10.47,6.03,,
April,7.65,6.37,7.84,6.86,9.14,5.17,4.94,5.47,9.45,12.96,,
May,2.84,4.53,6.76,6.44,6.67,9.29,4.41,8.27,3.24,6.79,,
June,2.99,8.31,1.25,9.61,7.27,5.62,4.25,4.32,7.96,6.05,,
July,10.90,9.99,12.98,10.00,1.42,8.52,8.37,5.82,12.21,9.80,,
August,9.50,11.53,11.25,9.14,2.85,9.85,10.26,10.95,7.69,5.82,,
September,10.41,8.29,19.34,16.60,12.48,10.34,9.33,7.77,3.44,5.29,,
October,4.99,13.18,11.85,20.82,13.88,9.64,18.40,13.33,10.91,6.68,,
November,18.21,4.16,23.73,21.25,8.07,5.60,6.72,3.61,12.82,14.01,,
December,21.18,12.26,13.35,26.52,16.90,19.99,17.05,13.56,18.33,12.95,,
Total,119.15,107.45,137.45,164.02,97.19,107.89,121.72,97.09,106.02,104.09,,
Calc annual,119.15,107.45,137.45,164.02,97.19,107.89,121.72,97.09,106.02,104.09,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
