ALLT NA LAIRIGE,,,,,,,,,,,,,,,,,,,,
Grid ref,NN252171,Long,-4.82763,Lat,56.313971,Elevation,1075,ft,,,,,,,,,,,,
Station no,5428/6/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,10.17,13.64,21.89,12.39,14.02,9.24,13.35,13,8.81,12,16.57,13.7,3.96,7.86
February,,,,,,,0.25,11.86,17.5,9.71,8.17,10.79,11.37,10.17,6.89,5.77,8.87,6.84,5.54,9.85
March,,,,,,,7.29,18.2,9.08,9.62,8.29,8.8,4.38,13.61,2.81,6.1,12.55,3.45,10.47,6.03
April,,,,,,,18.45,10.24,20.15,7.22,7.65,6.37,7.84,6.86,9.14,5.17,4.94,5.47,9.45,12.96
May,,,,,,,5.5,4.31,6.25,3.44,2.84,4.53,6.76,6.44,6.67,9.29,4.41,8.27,3.24,6.79
June,,,,,,,8.25,9.71,3.8,8.23,2.99,8.31,1.25,9.61,7.27,5.62,4.25,4.32,7.96,6.05
July,,,,,,,10.12,10.43,5.97,13.99,10.9,9.99,12.98,10,1.42,8.52,8.37,5.82,12.21,9.8
August,,,,,,,0,13.98,10.74,12.62,9.5,11.53,11.25,9.14,2.85,9.85,10.26,10.95,7.69,5.82
September,,,,,,,13.61,16.79,7.15,23.07,10.41,8.29,19.34,16.6,12.48,10.34,9.33,7.77,3.44,5.29
October,,,,,,,7.93,22.99,15.76,15.68,4.99,13.18,11.85,20.82,13.88,9.64,18.4,13.33,10.91,6.68
November,,,,,,,20.93,9.48,14.25,8.49,18.21,4.16,23.73,21.25,8.07,5.6,6.72,3.61,12.82,14.01
December,,,,,,,7.5,16.98,23.4,5.28,21.18,12.26,13.35,26.52,16.9,19.99,17.05,13.56,18.33,12.95
Total,,,,,,,110,158.61,155.94,129.74,119.15,107.45,137.45,164.02,97.19,107.89,121.72,97.09,106.02,104.09
,,,,,,,,,,,,,,,,,,,,
1947 Ja Fe Estd,,,,,,,,,,,,,,,,,,,,
1949 Big print with ?,,,,,,,,,,,,,,,,,,,,
1952 Feb Estd,,,,,,,,,,,,,,,,,,,,
1954 Feb Estd,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,5428/6/5,,,,,,,,,,,,,,,,,,,
Midas,13825,,,,,,,,,,,,,,,,,,,
Hyd Stn,669508,,,,,,,,,,,,,,,,,,,
