DUNFORD-BRIDGE-GRAINS-PLANTATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE139027,Long,-1.791823,Lat,53.52079,Elevation,1150,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,3164/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,7.15,6.65,,-999,5.15,6.95,9.8,6.05,7.6,5.8,14.75,2.95,4.25,6.3,6.55,3.1,4.45,3.15,6.8,4.45,4.95,5.25,6.4
February,,,,,,,,2.9,5.95,,-999,2.8,5,3.3,7.3,8.8,3.5,4.3,3.95,8.25,4.95,3,3.85,4.55,2.4,1.8,4.1,7.6,0.35,2.95
March,,,,,,,,1.9,4.15,4.4,6.3,3.35,2.6,1,1.7,2.2,7.65,2.1,2.1,2.65,6.85,2.7,3.45,3.65,3.15,2.35,3.95,3.1,2.35,2.3
April,,,,,,,,0.6,3,4,3.65,2.35,3.65,3.4,3.05,2.25,5.7,2.65,5.65,5.25,3.35,3.2,3.9,0.8,1.9,2.85,0.4,1.45,5.7,3
May,,,,,,,,4.15,2.35,0.55,3.75,3.5,3.1,4.05,4.05,2.5,4,1.95,2.55,2.75,3.95,2.05,2.75,4.55,5.6,1.55,1.55,3.75,1.4,2.15
June,,,,,,,,4.85,3.1,0.75,1.7,1,4.55,3.15,4.4,4.5,3.3,5.45,0.85,1.95,0.9,3.05,4.15,2.65,3.7,3.15,1.3,5.25,1.55,1.85
July,,,,,,,,4.85,8.05,4.85,1.8,5.7,2.65,3.25,2.05,5.6,2.3,1.95,2.95,2.85,3.7,2.45,6.95,6.45,1.05,8.95,4.6,5.2,4.55,7.35
August,,,,,,,,4.5,2.15,2.25,7.25,5.95,6.95,5.9,3.75,4.6,0.2,5.5,3.8,4.15,7.2,3.65,5.1,7.35,0.75,11.45,6.8,3.7,0.95,5.2
September,,,,,,,,2.6,2.45,5.15,0.65,3.7,5.1,6.3,3.05,8.3,2.45,2.45,1.95,8.15,3.25,6.1,3.45,6.5,2.15,4.3,6.4,4.55,0.25,3.95
October,,,,,,,,12.55,4.15,5.6,6.5,8.4,2.95,6,8.9,2.4,1.3,3.45,4.6,3.6,1.1,7,2.7,9.4,3.55,3.45,5.7,4.1,4.75,8
November,,,,,,,,6.3,9.85,10.1,4.25,1.35,4.95,9.5,0.8,10.6,8.65,2.85,9.6,8.3,11.95,3.9,5.3,8.9,2.5,2.6,3.25,1.3,5.9,7.35
December,,,,,,,,5.25,5.5,6,3.9,5.1,3,5.3,3.65,4.85,7.15,5,11.75,3.35,10.2,5.1,2.8,9.7,7.4,6.15,6.8,5.35,9.45,6.9
Total,,,,,,,,57.6,57.35,,52.65,48.35,51.45,60.95,48.75,64.2,52,52.4,52.7,55.5,63.7,48.75,47.5,68.95,37.3,55.4,49.3,50.3,42.45,57.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is near Grains Plantation. Altitudes match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan/Feb 1941 and Jan/Feb/Apr 1947 estimated for snow but left in this record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
