SHREWSBURY-CORPORATION-YARD,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ495119,Long,-2.7487839,Lat,52.702404,Elevation,174,ft.,,,,,,,,,,,,
Station no,RR2025,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,,,3.35,2.17,1.73,0.78,2.11,2.34,0.64,3.32,1.53,0.96,
February,,,,,,,,,,1.89,3.21,1.3,0.99,1.7,3.48,0.91,1.5,1.06,1.48,
March,,,,,,,,,,0.98,0.8,2.43,1.23,3.79,1.28,3.31,1.1,0.88,3.1,
April,,,,,,,,,,2.36,0.83,1.99,2.09,0.99,1.13,1.59,0.92,1.79,2.52,
May,,,,,,,,,,2.21,2.05,0.79,2.68,2.55,2.24,0.86,1.92,2.73,1.66,
June,,,,,,,,,,1.77,1.95,2.7,2.26,1.89,0.99,2.4,1.99,4.06,2.08,
July,,,,,,,,,,4.16,2.49,4.79,0.98,2.7,2.1,1.22,1.07,2.62,2.95,
August,,,,,,,,,,1.01,3.9,1.49,4.55,4.35,3.27,4.23,1.63,2.73,3.47,
September,,,,,,,,,,2.58,0.29,0.87,1.51,3.8,1.66,1.09,0.62,0.74,1.74,
October,,,,,,,,,,2.61,3.23,1.97,2.54,5.57,0.39,1.37,4.22,5.71,1.63,
November,,,,,,,,,,1.44,2.97,1.32,1.87,2.97,1.09,2.62,2.57,2.48,1.77,
December,,,,,,,,,,2.07,3.41,3.96,1.78,1.82,1.84,0.78,1.92,2.24,2.35,
Total,,,,,,,,,,26.43,27.3,25.34,23.26,34.24,21.81,21.02,22.78,28.57,25.71,
,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,
"NGR is based on the relationship to the church and altitude, but no evidence that there was a corporation yard at this location. There are schools and a park.",,,,,,,,,,,,,,,,,,,,
