SHREWSBURY-RADBROOK-HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ473119,Long,-2.7813384,Lat,52.702194,Elevation,235,ft.,,,,,,,,,,,,,,,,,,,,
Station no,2288,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937
January,,,,,,,,,1.91,2.22,2.83,2.58,3.2,1.23,1.99,1.82,2.47,2.03,3.97,1.12,3.41,1.5,2.88,1.57,2.68,0.87,3.23,2.46
February,,,,,,,,,1.46,2.6,2.47,0.33,2.67,4.01,0.37,3.67,1.82,1.76,1.99,0.49,0.79,2.08,0.2,2.93,0.16,2.85,2.62,3.18
March,,,,,,,,,1.1,4.81,2.54,1.28,2.36,1.21,1.42,0.85,0.5,2.24,2.01,0.65,3.36,0.43,2.13,1.82,1.32,0.76,2.57,2.09
April,,,,,,,,,1.88,1.56,3.73,1.1,2.2,2.18,2.56,1.83,1.83,2.03,1.18,0.69,2.57,3.45,3.63,0.89,2.44,2.73,2.32,1.93
May,,,,,,,,,2.86,0.9,3.07,0.94,1.03,2.11,5.39,2.24,3.48,1.24,1.56,1.7,1.86,4.78,4.24,1.32,1.32,0.72,1.12,1.52
June,,,,,,,,,0.71,0.93,2.56,0.34,0.76,0.35,2.78,0,1.07,3.68,3.2,2.09,0.97,4.26,0.78,2.54,1.27,1.92,3.56,1.14
July,,,,,,,,,3.2,1.93,4.1,0.66,2.65,1.78,3.83,2.07,2.25,1.81,1.4,2.14,3.53,2.98,5.06,2.17,1.51,0.56,4.5,1.68
August,,,,,,,,,1.1,2.38,0.87,2.87,2.05,2.53,2.37,3.49,2.09,4.14,2.98,2.6,1.98,5.08,1.28,1.18,2.21,0.9,0.72,1.24
September,,,,,,,,1.02,5.95,2.04,2.19,0.7,1.74,1.52,3.17,2.85,1.26,3.22,1.37,1.02,3.42,2.54,2.04,1.05,1.32,3.28,5.49,1.86
October,,,,,,,,2.96,1.61,3.3,3.05,2.32,0.71,3.73,3.92,2.9,2.21,1.99,3.52,2.66,3.04,0.76,3.92,4.82,2.69,3.74,1.46,3.69
November,,,,,,,,1.25,1.29,1.07,0.97,2.31,0.78,2.01,1.78,2,4.89,3.51,3.25,4.93,3.19,3.72,1.57,0.77,1.92,4.62,4.1,1.69
December,,,,,,,,1.01,3.29,2.81,2.18,2.07,3.62,2.49,2.88,2.43,0.73,2.46,2,4.75,3.1,1.22,1.02,0.6,3.42,2.71,2.55,2.35
Total,,,,,,,,,26.36,26.55,30.56,17.5,23.77,25.15,32.46,26.15,24.6,30.11,28.43,24.84,31.22,32.8,28.75,21.66,22.26,25.66,34.24,24.83
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Radbrook Hall. Altitudes match,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radbrook Hall overlaps Longden Road by 13 years and there are 5 randomly spaced duplicate readings,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radbrook Hall overlaps Kingslanf Brookland by 81 months and there are two duplicate readings. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radbrook Hall overlaps Meole Brace Hall by 16 months and 1 of the readings is a duplicate. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
