"SHREWSBURY CORPORATION YARD",,,,,,,,,,,,
Grid ref,SJ495121,Long,-2.748815,Lat,52.704202,,,,,,,
Station no,RR2025,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.17,1.73,0.78,2.11,2.34,0.64,3.32,1.53,0.96,,,
February,3.21,1.30,0.99,1.70,3.48,0.91,1.50,1.06,1.48,,,
March,0.80,2.43,1.23,3.79,1.28,3.31,1.10,0.88,3.10,,,
April,0.83,1.99,2.09,0.99,1.13,1.59,0.92,1.79,2.52,,,
May,2.05,0.79,2.68,2.55,2.24,0.86,1.92,2.73,1.66,,,
June,1.95,2.70,2.26,1.89,0.99,2.40,1.99,4.06,2.08,,,
July,2.49,4.79,0.98,2.70,2.10,1.22,1.07,2.62,2.95,,,
August,3.90,1.49,4.55,4.35,3.27,4.23,1.63,2.73,3.47,,,
September,0.29,0.87,1.51,3.80,1.66,1.09,0.62,0.74,1.74,,,
October,3.23,1.97,2.54,5.57,0.39,1.37,4.22,5.71,1.63,,,
November,2.97,1.32,1.87,2.97,1.09,2.62,2.57,2.48,1.77,,,
December,3.41,3.96,1.78,1.82,1.84,0.78,1.92,2.24,2.35,,,
Total,27.30,25.34,23.26,34.24,21.81,21.02,22.78,28.57,25.71,25.00,,
Calc annual,27.30,25.34,23.26,34.24,21.81,21.02,22.78,28.57,25.71,0.00,,
Difference,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,25.00,,
