SHREWSBURY-MEOLE-BRACE-HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ485104,Long,-2.7633461,Lat,52.688826,Elevation,205,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2286/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,2.33,2.82,5.48,2.63,3.3,2.4,3.96,2.3,1.6,2.55,1.66,4.32,1.22,0.61,1.74,2.45,0.6,2.16,2.21,3.17,1.05,1.75,3.8,4.42
February,,,,,,,3.02,0.4,1.16,2.33,2.53,0.69,0.98,1.61,1.59,2.18,1.44,1.5,0.77,4.43,2.05,0.55,1.61,2.1,1.83,0.27,1.48,3.78,0.16,2.19
March,,,,,,,1.77,0.29,1.59,2.01,2.36,1.62,1.01,0.54,0.87,0.92,4.56,0.96,1.41,1.08,3.87,1.06,1.24,1.81,2.8,1.09,1.36,0.9,1.35,1.48
April,,,,,,,1.7,0.11,1.66,2.47,0.99,1.03,1.25,1.25,0.97,1.3,2.12,1.8,1.36,2.36,1.59,2.18,2.81,0.48,1.03,1.52,0.33,0.34,3.09,1.32
May,,,,,,,1.36,1.49,0.79,3.66,1.91,3.77,2.56,0.99,3.17,1.96,2.23,1.42,2.09,1.21,3.11,1.92,1.88,2.78,3.9,0.35,1.14,1.7,1.46,1.42
June,,,,,,,0.97,1.87,1.17,2.71,2.98,0.62,1.26,1.59,1.87,2.13,1.88,2.5,0.44,1.31,1.2,1.99,2.11,2.67,2.75,1.38,2.12,4.31,1.63,2.01
July,,,,,,,1.68,1.79,4.41,2.78,1.79,1.48,2.39,1.14,1.3,1.72,4.02,1.07,2.79,2.27,1.34,0.69,2.37,2.28,0.51,2.59,2.25,3.81,1.35,2.29
August,,,,,,,1.1,3.76,1.97,0.18,2.95,2.1,1.66,2.39,3.18,5.26,0.47,3.32,1.19,3.05,3.17,2.32,2.04,3.65,1.52,3.53,5.18,3.82,0.83,4.09
September,,,,,,,1.89,1.28,0.72,1.42,0.75,0.94,3.19,3.06,1.47,3.7,1.75,2.35,0.75,3.44,1.88,1.75,1.97,1.49,1.09,2.24,5.03,7.75,0.17,4.59
October,,,,,,1.44,3.3,3.19,2.67,2.83,1.95,1.54,2.43,2.86,3.67,0.78,0.47,1.71,3.33,1.29,0.78,3.62,1.86,3.69,1.14,1.65,1.82,2.26,2.49,5.21
November,,,,,,2.48,1.58,3.51,4.08,7.04,2.19,0.85,1.9,3.02,0.47,3.67,1.64,1.54,2.65,3.13,5.45,2.16,1.81,5.12,1.37,0.66,1.79,1.84,2.83,3.83
December,,,,,,2.63,2.44,2.65,1.95,1.33,1.16,2.72,1.17,1.49,2.6,2.22,1.82,3.75,1.51,1.84,2.27,2.83,1.02,1.78,2.06,2.23,0.94,2.11,4.19,2.77
Total,,,,,,6.55,23.14,23.16,27.65,31.39,24.86,19.76,23.76,22.24,22.76,28.39,24.06,26.24,19.51,26.02,28.45,23.52,21.32,30.01,22.21,20.68,24.49,34.37,23.35,35.62
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is Meole Brace Hall. Stated altitude of 250 is too high, therefore adjusted ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radbrook Hall overlaps Meole Brace Hall by 16 months and 1 of the readings is a duplicate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Longden Road overlaps Meole Brace Hall by 171 months and there are 2 duplicates readings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
