"BEDFORD (CASTLE ROAD)",,,,,,,,,,,,
Grid ref,TL057498,Long,-0.457035,Lat,52.136398,,,,,,,
Station no,1179,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.46,1.31,0.87,0.94,2.06,3.90,0.88,2.35,3.49,2.79,,
February,3.22,0.59,1.99,1.68,1.39,0.59,2.27,2.51,0.08,2.17,,
March,3.03,3.14,0.49,1.82,1.38,0.64,1.42,1.76,2.55,1.73,,
April,3.04,1.56,1.89,0.33,0.55,1.08,0.26,0.82,1.73,0.23,,
May,2.28,1.83,1.40,2.44,4.20,0.57,1.23,1.86,0.65,1.56,,
June,0.87,0.86,2.38,2.60,2.38,2.57,1.58,5.04,0.83,2.33,,
July,1.58,0.48,2.23,2.43,0.44,4.48,2.12,2.64,2.96,4.28,,
August,3.26,3.45,3.28,3.44,0.68,3.90,2.42,2.69,0.56,2.72,,
September,1.94,3.09,0.78,1.64,1.90,1.68,3.55,2.53,0.07,4.10,,
October,1.01,2.60,2.01,1.84,1.54,1.74,1.52,1.93,1.99,4.59,,
November,3.66,3.15,1.16,3.73,1.19,0.72,1.59,1.72,1.68,3.78,,
December,1.31,2.12,0.41,2.18,2.17,2.66,2.38,2.49,3.09,3.16,,
Total,27.66,24.18,18.89,25.07,19.88,24.53,21.22,28.34,19.68,-999.00,,
Calc annual,27.66,24.18,18.89,25.07,19.88,24.53,21.22,28.34,19.68,33.44,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,-1032.44,,
