"LONG COMPTON (WESTERN PARK)",,,,,,,,,,,,
Grid ref,SP287345,Long,-1.583286,Lat,52.008196,,,,,,,
Station no,2441,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.62,1.79,0.91,1.04,2.30,3.40,1.39,2.43,3.49,4.28,,
February,3.64,0.62,1.32,2.89,1.36,0.36,2.94,3.71,0.06,2.16,,
March,3.57,2.30,0.71,2.32,1.67,0.63,1.90,1.29,2.37,1.32,,
April,2.66,1.93,2.00,0.37,1.00,0.99,0.26,0.72,2.96,0.73,,
May,3.00,2.99,1.51,2.67,3.23,0.58,1.24,2.54,0.58,1.62,,
June,0.88,1.90,1.99,2.67,3.27,2.07,1.07,3.80,1.03,2.26,,
July,0.81,0.17,2.41,2.13,0.17,2.26,4.07,2.76,1.56,3.32,,
August,4.70,2.93,2.76,3.38,0.31,3.85,3.02,2.35,1.36,5.47,,
September,2.65,1.04,2.08,2.28,1.63,2.34,3.14,3.62,0.12,4.79,,
October,0.79,3.53,3.73,2.42,1.55,1.38,1.07,2.51,2.41,4.51,,
November,5.96,3.11,0.94,5.43,1.98,0.68,1.68,2.78,2.60,3.66,,
December,1.98,2.44,0.87,2.23,2.33,3.39,2.74,2.38,5.17,3.21,,
Total,33.26,24.75,21.23,29.83,20.80,21.93,24.52,30.89,23.71,37.33,,
Calc annual,33.26,24.75,21.23,29.83,20.80,21.93,24.52,30.89,23.71,37.33,,
Difference,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,-0.00,0.00,-0.00,,
