CHUDLEIGH-SCOTLEIGH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX869799,Long,-3.5991,Lat,50.6082,Elevation,280,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1735/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,2.84,4.71,3.04,3.27,0.63,6.23,7.06,4.42,6.56,2.81,6.09,4.57,9.53,2.37,3.21,4.63,4.31,6.94,0.6,1.04,4.05,3.16,0.65,1.94,6.03,4.19,3.76,,,
February,2.47,0.07,4.19,0.18,3.65,5.2,6.65,1.15,1.54,5.07,4.98,0.22,1.87,0.53,2.38,3.47,4.04,1.62,1.72,6.18,5.76,0.42,1.43,3.48,3.83,0.3,5.86,,,
March,2.3,2.5,3.97,3.02,1.54,4.91,5.93,0.15,1.63,3.43,4.22,3.01,1.62,0.11,1.05,2.6,8.78,1.25,1.54,1.97,4.56,3.32,0.56,3.72,1.87,1.64,3.95,,,
April,3.11,2.32,2.45,3.04,4.36,3.87,3.47,0.07,2.85,4.16,1.41,2,1.01,2.41,0.72,2.52,3.36,2.47,1.9,1.53,1.77,2.94,3.5,0.08,1.15,1.22,0.25,,,
May,3.18,3.66,2.36,1.29,2.94,1.3,3.12,3.08,0.61,1.62,2.46,6.49,3.94,0.66,3.63,6.49,3.17,2.41,2.07,3.25,2.71,2.33,3.19,2.42,3.53,1.01,2.56,,,
June,3.26,3.29,2.18,1.64,3.71,1.48,1.05,1.24,3.57,0.93,2.27,0.5,1.01,2.53,2.86,2.2,2.54,1.63,0.54,1.31,0.81,0.94,1.98,2.89,2.76,1.73,2.11,,,
July,3.92,2.1,2.65,2.54,0.32,5.5,1,3.21,5.8,2.44,0.65,1.83,2.1,2.36,2.19,1.16,1.6,0.82,1.92,5.52,2.02,1.03,1.89,2.23,3.02,4.17,2.95,,,
August,3.68,2.06,0.49,3.08,2.19,0.09,1.48,4.08,1.93,0.02,3.85,3.65,2.52,3.54,1.68,3.88,1.57,3,1.05,4.09,3.85,4.48,1.72,2.69,0.67,2.88,2.37,,,
September,1.2,4.52,2.15,2.58,2.82,3.21,2.46,1.21,0.73,1.56,1.09,2.41,3.45,2.06,2.92,4.93,2.12,1.34,4.62,4.11,4.3,3.23,3.18,2.85,1.57,6.84,2.56,,,
October,0.5,6.65,2.85,2.71,3.33,0.95,4.24,3.49,6.38,5.5,1.49,3.48,4.36,4.27,4.67,2.34,1.06,4.1,6.43,1.5,1.09,5.55,3.67,2.7,2.48,1.76,,,,
November,8.63,2.64,1.09,2.18,6.29,2.8,2.81,5.88,7.4,7.14,3.19,1.23,2.22,6.46,1.27,7.4,2.62,2,4.97,6.61,5.92,5.58,1.89,8.32,4.27,1.47,,,,
December,1.73,2.57,2.87,12.01,5.16,4.52,4.13,4.23,2.25,3.71,3.59,5.08,3.89,3.05,6.61,4.74,2.71,6.5,0.92,4.23,3.28,3.45,0.64,3.72,5.87,6.23,,,,
Total,36.82,37.09,30.29,37.54,36.94,40.06,43.4,32.21,41.25,38.39,35.29,34.47,37.52,30.35,33.19,46.36,37.88,34.08,28.28,41.34,40.12,36.43,24.3,37.04,37.05,33.44,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back years 1931-1934 received 7/36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 Jan part estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956 Apr 10th Inspection Gauge sound Recommend moving to disused tennis courts where exposure good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956 Apr Probably high but accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957 Property sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
