WELBURN SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE719680,Long,-0.902,Lat,54.103,Elevation,190,ft,,,,,,,,,,,,,,,,,,,,,
Station no,3452,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956
January,5.23,1.61,3.47,2.18,1.72,1.86,1.76,2.33,5.56,3.64,2.44,4.37,-999.00,2.75,3.01,3.36,2.60,3.88,2.56,2.69,4.82,1.10,1.47,1.93,2.14,1.03,1.46,1.52,4.67
February,1.97,0.82,0.80,2.25,0.79,4.17,1.22,3.22,2.64,3.61,1.02,2.02,-999.00,3.77,1.57,0.48,2.06,2.23,1.81,2.47,1.50,0.60,4.17,2.50,0.81,2.05,2.37,1.94,2.02
March,2.26,0.40,2.40,1.39,1.88,2.30,2.18,1.38,1.58,2.85,0.24,2.42,1.70,2.81,1.31,0.41,0.39,0.99,1.06,3.86,0.99,1.54,1.42,3.13,2.10,0.34,2.13,2.37,1.38
April,0.81,1.14,2.48,2.45,1.80,1.25,2.52,2.25,1.56,3.61,0.29,1.62,1.45,1.44,1.30,1.48,2.55,1.40,1.94,1.73,1.43,2.02,2.42,1.35,1.46,2.42,0.23,1.11,1.25
May,1.21,1.41,1.24,3.05,6.15,2.08,1.17,1.08,1.72,2.88,3.19,1.49,2.78,1.94,3.05,2.43,1.27,2.58,2.63,1.50,1.91,2.10,1.88,2.82,0.88,2.26,3.24,2.94,
June,3.86,1.18,2.76,4.54,0.76,2.47,1.74,2.81,3.38,1.89,1.94,2.84,0.76,0.43,1.25,2.24,2.48,2.31,2.45,2.55,6.27,0.70,1.71,1.58,1.96,2.34,1.48,2.30,
July,0.68,1.92,4.12,3.54,3.09,1.71,1.46,0.42,3.15,1.93,2.92,3.81,6.86,3.30,2.67,1.47,2.30,1.96,2.86,2.47,1.48,1.77,3.10,2.40,1.50,2.61,2.49,1.51,
August,3.53,2.92,4.43,3.07,1.72,0.60,2.41,2.04,3.83,0.93,2.62,1.62,0.96,3.42,3.25,3.40,4.63,2.49,3.66,0.29,2.45,2.24,7.36,5.67,2.20,4.63,6.10,0.86,
September,0.46,0.48,3.31,3.70,2.36,2.72,1.74,5.66,1.72,1.83,2.30,0.84,1.76,0.59,2.05,3.37,4.85,1.61,4.06,1.75,1.34,0.84,3.71,1.82,3.38,1.23,2.20,1.40,
October,3.53,2.83,2.14,1.26,3.18,4.39,1.60,4.25,2.03,2.92,3.90,3.24,2.59,3.96,2.12,1.40,2.56,2.53,0.89,0.76,1.49,2.32,1.29,1.63,2.83,1.83,3.76,2.01,
November,3.20,3.87,3.81,2.91,1.58,2.77,1.70,4.38,2.97,2.46,2.90,3.07,4.14,3.00,0.81,2.63,4.05,1.07,5.93,2.91,1.07,4.35,3.96,5.65,1.93,2.64,5.32,2.00,
December,1.73,4.83,1.96,1.32,1.46,0.86,5.40,2.47,1.56,3.61,4.21,2.10,2.32,0.30,2.11,1.54,2.04,1.68,2.58,2.35,1.96,2.33,2.74,2.54,1.88,1.29,2.33,3.98,
Total,28.47,23.41,32.92,31.66,26.49,27.18,24.90,32.29,31.70,32.16,27.97,29.44,30.94,27.71,24.50,24.21,31.78,24.73,32.43,25.33,26.71,21.91,35.23,33.02,23.07,24.67,33.11,23.94,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_23_pt1/219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_20_pt1/005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_22_pt1/191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_22_pt1/007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The October 1931 figure is identified as adjusted on the sheet and has been retained.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# January-February 1940 readings are an aggregate reading that has been apportioned.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The gauge was at a site in the village before 1928. It moved about a mile to Castle Howard Reformatory School in 1956.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
