WELBURN VILLAGE,,,,,,,,,
Grid ref,SE721680,Long,-0.899,Lat,54.103,Elevation,300,ft,
Station no,3452,,,,,,,,
,,,,,,,,,
,1919,1920,1921,1922,1923,1924,1925,1926,1927
January,,3.20,2.45,2.73,1.46,2.29,1.22,2.91,2.37
February,,1.29,0.22,2.33,4.34,1.36,3.45,1.92,1.68
March,3.50,1.99,1.13,2.45,1.51,1.06,1.24,0.82,1.64
April,1.57,3.60,1.64,2.21,1.68,1.84,2.34,1.04,2.34
May,1.26,2.28,1.68,1.07,2.48,4.16,3.88,2.26,1.02
June,1.05,1.27,0.29,2.07,0.61,1.64,0.14,4.04,3.38
July,3.22,5.79,1.61,5.26,3.15,2.94,1.45,1.51,3.18
August,2.33,2.06,3.93,4.91,4.31,2.63,3.08,2.27,6.09
September,1.49,1.57,1.06,1.93,2.37,2.31,2.80,1.29,5.70
October,3.82,1.79,1.49,0.89,2.27,3.24,3.02,2.72,1.91
November,2.72,1.17,1.85,1.38,3.07,1.58,2.46,3.51,2.61
December,4.07,2.93,2.15,2.76,3.20,2.63,3.28,0.61,1.95
Total,,28.94,19.50,29.99,30.45,27.68,28.36,24.90,33.87
,,,,,,,,,
TYRain_1910-1919_21_pt1/013,,,,,,,,,
TYRain_1920-1930_23_pt1/219,,,,,,,,,
,,,,,,,,,
# The January and February 1919 figures are identified as estimates on the sheet and have been omitted.,,,,,,,,,
#,,,,,,,,,
# Exact location in the village not certain.,,,,,,,,,
#,,,,,,,,,
# The gauge moved to the school in 1928.,,,,,,,,,
