COWFOLD-THE-LAURELS (MAPLE BANK),,,,,,,,,,,,,,,,,,,,
Grid ref,TQ2137322481,Long,-0.2720721,Lat,50.988943,Elevation,105,ft,,,,,,,,,,,,
Station no,RR4847,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,0.5,5.2,1.26,1.28,2.25,2.15,2.8,2.62,4.8,0.65,3.88,,,,
February,,,,,,1.12,2.19,1.52,1.23,0.75,5.28,1.5,1.82,1.34,5.43,4.62,,,,
March,,,,,,3.28,1.46,0.2,2.79,0.68,0.89,1.68,3.97,3.32,4.76,0.66,,,,
April,,,,,,2.19,0.4,4.26,2.57,1.3,1.5,1.1,0,3.55,1.86,1.59,,,,
May,,,,,,0.37,2.24,2.53,1.4,1.28,2.64,1.02,1.17,1.63,1.34,3.39,,,,
June,,,,,,4.34,2.63,1.32,2.34,3.22,2.05,2.4,2.4,0.21,0.38,1.06,,,,
July,,,,,,0.22,3.03,1.77,2.57,2.48,2.5,0.67,1.13,2.45,2.37,5.55,,,,
August,,,,,,2.05,0.51,1.36,4.05,2.34,0.85,1.02,6.1,0.88,2.1,1.8,,,,
September,,,,,,2.58,1.44,0.96,1.41,3.4,1.95,1.62,2.37,3.05,1.53,2.78,,,,
October,,,,,,1.46,2.27,5.6,0.89,6.81,3.05,4.28,3.51,4.75,2.09,3.74,,,,
November,,,,,,5.83,4.94,2.43,0.26,0.95,4.44,5.93,2.08,3.53,3.57,2.26,,,,
December,,,,,,0.9,2.55,3.61,5.11,4,4.06,8.3,2.79,1.59,7.92,6.87,,,,
Total,,,,,,24.84,28.86,26.82,25.9,29.46,31.36,32.32,29.96,31.1,34,38.2,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Elev from OS map,,,,,,,,,,,,,,,,,,,,
1905 Gauge moved,,,,,,,,,,,,,,,,,,,,
