MARLOW (BOVINGDON PLACE),,,,,,,,,,,,
Grid ref,SU833872,Long,-0.799302,Lat,51.577519,,,,,,,
Station no,997/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,3.15,3.47,2.90,,
February,,,,,,,,3.30,0.13,2.95,,
March,,,,,,,,2.19,2.46,1.17,,
April,,,,,,,,1.17,2.64,0.92,,
May,,,,,,,,2.60,0.69,1.98,,
June,,,,,,,,3.76,2.37,2.37,,
July,,,,,,,,3.32,3.10,3.82,,
August,,,,,,,,3.51,2.40,3.22,,
September,,,,,,,,4.78,0.22,4.02,,
October,,,,,,,,2.84,3.36,7.29,,
November,,,,,,,,2.57,2.49,4.17,,
December,,,,,,,,3.25,4.69,3.42,,
Total,,,,,,,,36.44,28.02,38.23,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.44,28.02,38.23,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
