"MARKET WEIGHTON (DALTON HOLME)",,,,,,,,,,,,
Grid ref,SE963453,Long,-0.536050,Lat,53.894941,,,,,,,
Station no,3400,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.98,2.08,1.07,1.95,1.47,5.22,1.67,2.54,1.93,4.56,,
February,3.00,1.09,1.91,2.87,1.78,3.08,2.84,3.68,0.27,2.03,,
March,2.95,2.21,0.55,2.64,2.44,1.59,1.50,2.11,1.64,1.02,,
April,1.08,1.54,2.54,0.32,0.98,1.56,0.47,1.04,2.81,1.17,,
May,4.64,1.72,1.81,3.24,3.42,0.89,1.60,2.46,0.60,0.85,,
June,1.74,2.13,2.23,1.87,1.94,3.23,2.22,4.37,0.98,0.54,,
July,1.79,2.31,2.43,1.89,1.30,4.56,3.86,3.15,1.81,4.40,,
August,5.75,2.34,3.03,6.57,0.77,5.55,6.18,1.72,0.21,3.18,,
September,1.42,4.43,1.00,2.53,0.63,2.06,3.54,2.04,0.15,2.56,,
October,1.73,2.45,1.56,4.02,1.64,1.40,2.21,1.95,2.43,6.73,,
November,4.45,2.81,2.45,4.96,1.30,0.83,2.51,0.75,3.07,4.76,,
December,2.43,2.07,1.48,2.51,3.22,2.64,2.28,3.71,3.68,3.24,,
Total,32.96,27.18,22.06,35.37,20.89,32.61,30.88,29.52,19.58,35.04,,
Calc annual,32.96,27.18,22.06,35.37,20.89,32.61,30.88,29.52,19.58,35.04,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,,
