MARKET WEIGHTON DALTON HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE956451,Long,-0.547,Lat,53.893,Elevation,150,ft,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913
January,0.80,2.49,2.92,3.07,2.12,3.55,2.02,0.95,1.27,2.46,1.42,1.61,1.34,2.14,5.73,0.85,2.61,0.90,2.33,3.97,1.10,1.10,1.62,2.12,0.57,3.34,0.96,1.24,1.08,2.19,1.53,4.07,4.02
February,3.62,1.64,2.94,2.03,2.40,0.76,0.54,1.45,1.44,1.70,0.13,2.44,3.66,2.37,0.56,0.71,2.57,1.85,1.10,4.03,1.81,1.31,1.15,3.14,1.30,1.99,1.55,2.40,1.28,2.49,1.32,1.76,0.92
March,2.99,2.07,1.58,2.27,1.98,3.26,1.50,3.31,2.41,1.43,1.73,1.31,0.30,1.33,2.41,2.34,2.92,1.94,1.71,0.69,2.16,1.26,2.62,2.05,2.34,2.09,1.68,3.15,2.67,0.93,2.07,3.30,3.11
April,1.75,4.53,2.01,1.54,1.89,2.10,1.02,2.26,3.21,1.00,2.58,1.80,0.47,2.20,1.74,1.25,1.77,3.14,2.04,1.24,1.50,1.09,1.86,1.14,2.33,1.21,1.55,2.57,2.58,2.36,1.46,0.28,2.47
May,1.43,1.65,1.96,0.84,2.30,4.37,1.83,0.70,4.15,2.78,1.95,3.53,1.51,1.83,0.53,0.92,1.24,2.37,3.73,1.56,0.48,2.43,3.48,1.44,0.71,1.61,4.10,2.02,1.70,2.29,1.04,3.57,2.31
June,1.34,4.01,3.58,0.55,2.75,0.56,0.05,2.45,0.39,3.06,1.07,3.97,1.59,5.49,3.06,2.37,2.25,2.15,1.28,2.90,2.51,2.20,1.73,0.93,1.60,0.80,3.41,1.11,4.19,1.91,3.16,5.47,1.07
July,2.06,3.10,3.67,2.02,0.97,3.23,1.68,5.52,1.46,1.63,3.45,1.86,1.20,3.05,5.75,1.50,0.34,0.58,1.11,1.88,1.76,2.66,2.96,1.61,1.49,1.28,1.72,3.28,3.34,2.79,1.21,6.24,0.27
August,4.77,2.49,1.99,0.96,3.14,2.07,1.95,2.72,4.58,4.68,3.62,2.56,2.10,1.93,2.42,1.20,3.64,3.44,0.92,5.33,2.80,2.16,2.60,3.65,3.73,2.11,2.49,2.41,4.44,3.45,2.47,5.26,0.87
September,3.17,1.43,4.93,0.91,3.07,1.04,2.99,1.48,1.36,1.37,1.24,1.10,2.30,0.65,1.29,3.69,2.93,0.40,3.10,0.68,0.89,0.76,3.03,1.40,1.82,0.65,0.81,1.75,1.80,0.43,3.70,2.14,1.07
October,3.74,5.40,3.24,0.80,6.06,3.09,3.07,1.02,4.61,1.77,3.72,5.90,2.12,4.88,3.78,5.24,1.85,4.27,2.74,3.30,1.77,2.69,7.21,0.53,2.00,5.51,4.93,1.24,3.67,4.12,2.62,3.10,2.45
November,2.23,3.30,2.52,1.63,2.22,1.62,2.04,4.01,0.85,3.73,3.52,1.92,3.22,1.37,2.84,1.55,3.34,2.96,1.30,2.83,4.03,1.54,1.51,1.54,3.90,3.76,2.51,1.54,0.76,3.68,3.50,3.22,2.28
December,2.93,5.65,1.96,2.42,1.15,4.13,1.31,2.09,1.49,1.07,3.55,0.99,2.66,2.82,2.44,4.17,2.16,2.35,3.18,3.62,4.33,2.61,1.05,1.37,0.40,1.65,3.91,2.07,3.97,3.43,4.28,2.27,1.69
Total,30.83,37.76,33.30,19.04,30.05,29.78,20.00,27.96,27.22,26.68,27.98,28.99,22.47,30.06,32.55,25.79,27.62,26.35,24.54,32.03,25.14,21.81,30.82,20.92,22.19,26.00,29.62,24.78,31.48,30.07,28.36,40.68,22.53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_11_pt1/015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_17_pt1/134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_22_pt1/010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_20_pt1/200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The January 1913 figure is shown in brackets on the sheet without explanation. It has been retained.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 1914 and 1915 figures (bracketed on the sheet) have been omitted. The values were computed from Dalton Holme.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The grounds of Dalton Hall are extensive and there is no clear indication of where the rain gauge was located.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The grid reference is for the Hall building.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
