MARKET WEIGHTON DALTON HOLME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE963453,Long,-0.536,Lat,53.895,Elevation,120,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,1.47,1.99,0.59,3.11,0.86,1.29,0.99,1.71,1.30,3.22,3.52,1.59,3.17,0.73,3.22,1.61,3.25,3.16,2.40,3.04,1.59,2.48,1.52,2.93,1.81,4.85,1.78,3.27,2.58,1.32,1.83,1.74,2.16,3.67,3.72,2.52,4.21,2.29,2.96,3.05,3.94,2.29,3.50,2.91,2.81,5.03,0.90,1.42,1.98,2.08,1.07,1.95,1.47,5.22,1.67,2.54,1.93,4.56
February,0.97,2.64,1.17,1.93,1.40,2.09,1.27,2.22,1.21,1.44,0.80,0.95,3.30,3.53,0.76,1.96,1.75,1.34,0.26,3.19,4.44,1.36,3.64,1.77,1.51,1.75,0.97,0.80,2.65,0.58,3.32,1.37,2.77,2.92,3.27,1.02,1.39,2.03,3.41,1.54,0.40,1.67,2.04,2.21,2.30,1.32,0.84,3.90,3.00,1.09,1.91,2.87,1.78,3.08,2.84,3.68,0.27,2.03
March,2.55,1.72,2.01,1.67,1.47,2.68,3.24,0.87,1.80,3.00,2.71,1.83,1.02,3.24,1.75,1.25,3.40,2.14,1.15,1.79,1.46,1.09,1.43,0.73,1.61,2.97,0.23,2.21,0.62,2.12,2.24,2.24,0.65,1.37,3.18,0.23,2.48,1.89,2.64,1.11,0.63,0.47,0.64,1.33,5.06,0.91,1.34,1.66,2.95,2.21,0.55,2.64,2.44,1.59,1.50,2.11,1.64,1.02
April,1.84,1.14,1.93,1.09,1.32,2.34,2.31,2.09,1.18,0.23,2.14,0.51,0.75,1.68,2.00,1.46,1.69,4.75,1.17,1.69,1.73,1.79,3.18,1.74,2.51,0.88,1.19,2.11,3.52,2.39,1.20,2.63,2.28,1.81,3.33,0.23,1.72,1.85,1.97,0.98,1.13,2.82,1.90,1.34,1.78,1.80,2.09,3.02,1.08,1.54,2.54,0.32,0.98,1.56,0.47,1.04,2.81,1.17
May,3.24,1.84,0.63,1.68,3.81,1.96,1.68,2.38,0.82,3.44,2.21,2.14,1.53,2.71,1.56,2.22,0.90,2.55,2.04,1.27,3.97,3.56,2.48,1.67,1.03,1.10,1.45,1.37,3.07,4.93,2.56,1.25,0.32,1.95,3.57,3.38,2.02,1.81,1.58,3.67,3.35,1.40,1.27,2.04,1.10,1.94,1.87,2.23,4.64,1.72,1.81,3.24,3.42,0.89,1.60,2.46,0.60,0.85
June,1.78,0.43,1.35,0.61,3.58,1.02,3.80,2.04,3.10,5.17,0.86,3.24,0.35,2.54,1.31,0.59,0.72,1.17,0.24,1.37,0.50,2.06,0.05,4.96,3.47,3.98,1.29,1.90,3.61,0.43,3.00,0.99,2.51,3.23,1.92,2.58,2.50,0.87,0.53,1.16,2.01,2.77,2.77,3.29,3.24,5.85,0.76,1.47,1.74,2.13,2.23,1.87,1.94,3.23,2.22,4.37,0.98,0.54
July,3.11,1.73,1.42,1.05,1.44,2.79,3.11,2.86,1.19,6.08,0.28,4.07,6.17,2.10,1.18,4.16,2.39,5.18,1.11,5.19,3.06,4.08,0.99,1.84,3.29,0.90,1.80,4.13,3.51,1.86,0.99,1.97,0.31,3.36,2.73,2.95,3.59,6.95,3.87,2.91,1.21,2.51,1.30,2.91,1.93,1.43,1.90,3.47,1.79,2.31,2.43,1.89,1.30,4.56,3.86,3.15,1.81,4.40
August,2.58,3.38,3.17,1.93,2.19,2.21,4.10,3.15,2.14,4.65,0.60,2.68,2.47,2.78,6.52,3.00,2.80,1.60,3.58,3.21,3.16,2.55,2.74,2.41,5.87,4.47,1.99,2.92,3.39,1.45,0.48,2.29,2.16,2.73,0.95,2.95,1.30,1.20,3.31,2.25,3.48,3.75,2.65,5.00,0.76,3.66,2.08,4.02,5.75,2.34,3.03,6.57,0.77,5.55,6.18,1.72,0.21,3.18
September,2.91,1.43,1.61,0.70,0.63,1.55,1.34,0.37,3.06,1.97,1.22,1.89,1.17,0.97,1.00,5.81,1.81,1.35,0.58,2.20,2.99,3.18,3.72,0.89,4.26,0.34,0.45,3.31,2.80,2.24,2.30,1.79,4.01,2.25,1.75,2.16,1.51,1.71,0.87,1.98,3.61,4.62,1.59,5.75,1.21,1.65,0.55,3.75,1.42,4.43,1.00,2.53,0.63,2.06,3.54,2.04,0.15,2.56
October,6.32,0.54,1.78,5.01,4.51,1.12,2.78,3.58,2.38,2.86,3.67,1.99,1.42,3.79,3.45,1.45,4.29,1.70,1.33,1.47,1.58,3.90,2.87,3.12,2.37,4.07,2.55,2.22,1.36,3.69,5.97,1.75,4.69,2.13,2.77,3.64,4.15,3.37,3.02,1.79,1.59,3.12,3.71,1.23,0.99,1.90,2.82,1.47,1.73,2.45,1.56,4.02,1.64,1.40,2.21,1.95,2.43,6.73
November,1.68,1.48,3.42,2.88,2.11,1.29,0.60,3.41,3.17,2.66,2.09,3.19,2.12,3.06,1.70,1.65,2.97,1.05,2.47,1.88,3.36,1.93,2.77,3.20,3.09,3.15,4.18,3.43,3.02,1.64,2.43,2.30,4.83,3.21,2.66,3.01,4.06,4.40,3.36,1.12,2.53,3.66,1.07,6.06,2.42,1.16,4.17,4.57,4.45,2.81,2.45,4.96,1.30,0.83,2.51,0.75,3.07,4.76
December,0.94,1.63,0.32,1.80,3.54,1.85,4.77,2.88,4.00,1.93,1.30,5.27,5.26,2.88,1.54,3.64,3.71,3.13,2.64,2.93,3.38,2.71,3.09,0.95,2.84,1.84,5.45,2.27,1.18,1.41,0.69,3.71,2.42,1.63,4.45,4.18,2.12,2.20,0.66,2.21,1.29,1.81,1.40,3.18,1.80,2.27,2.49,3.46,2.43,2.07,1.48,2.51,3.22,2.64,2.28,3.71,3.68,3.24
