WIRKSWORTH-MANOR-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK287539,Long,-1.5730022,Lat,53.081557,Elevation,498,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,2.72,1.91,5.11,6.48,2.92,2.38,2.87,3.64,1.8,5.41,1.31,2.06,2.36,3.26,1.3,6.71,5.28,2.14,4.62,2.06,2.49,2.54,5.96,4.4,4.37,6.22,2.37,3.22,2.67,4.85,3.77,7.01,,5.47
February,,,,,,,,4.09,2.3,1.88,5.33,1.47,2.94,1.98,5.65,1.38,4.24,3.2,2.71,0.83,4.02,2.91,1.61,1.12,2.82,5.41,5.52,0.91,3.06,2.68,3.16,0.3,4.02,6.31,1.79,6.71,1.88,2.75,3.25,,0.89
March,,,,,,,,3.8,2.41,1.54,0.93,2.77,3.4,4.88,2.39,4.77,2.7,2.15,3.08,3.94,1.04,1.81,5.05,4.93,4.05,1.1,3.8,2.78,1.76,4.74,2.58,1.74,3.14,2.13,1.44,5.42,4.37,5.37,3.05,0.33,3.45
April,,,,,,,,2.83,2.74,4.15,1.54,2.14,3.07,1.84,2.31,2.31,1.01,1.32,2.58,2.69,4.12,1.98,0.71,3.53,1.52,1.17,2.46,1.96,1.33,1.93,6.14,1.87,3.57,2.81,3.13,3.49,3.41,4.18,1.29,1.45,3.37
May,,,,,,,,1.82,3.2,2.9,1.92,1.1,3.11,3.15,1.27,0.78,2.59,3.09,3.5,2.51,2.4,1.53,2.83,2.07,2.15,1.36,2.15,2.42,3.52,1.79,3.72,1.76,0.94,2.72,4.9,3.31,4.54,2.33,1.17,2.65,2.04
June,,,,,,,,3.8,1.67,1.33,3.95,1.39,2.01,1.07,0.83,2.27,2.12,5.48,1.58,3.7,2.32,2.41,4.33,1.49,1.94,1.35,2.49,2.52,1.2,0.92,3.89,0.4,1.45,0.87,3.37,0.56,3.85,7.51,3.42,1.38,
July,,,,,,,,1.18,1.47,1.85,4.03,4.31,1.94,3.52,3.1,1.67,0.93,3.54,3.66,4.29,3.55,0.08,5.56,0.92,4.47,4.71,2.21,1.57,3.45,2.61,5.9,1.1,4.87,5.66,5.77,2.44,4.63,4.73,1.16,2.6,
August,,,,,,,,3.31,3.85,0.55,5.04,1.84,3.68,5.28,4.28,4.7,3.07,3.79,2.84,3.3,5.4,1.98,7.17,1.69,2.68,3.1,2.55,7.38,3.15,3.38,1.24,4.46,6.38,3.4,1.34,5.72,4.77,5.3,4.28,3.32,
September,,,,,,,,4.02,0.76,5.09,0.72,1.16,1.91,4.47,1.51,2.01,1.22,0.72,3.93,2.47,0.39,2.05,1.52,1.72,1.72,0.68,1.75,3.43,7.71,2.73,2.09,1.26,3.03,3.33,4.1,6.31,3.32,4.21,0.5,1.16,
October,,,,,,,,1.45,4.36,3.65,4.5,2.58,3.47,7.78,1.53,1.99,7.29,5.4,0.99,6.82,2.23,2.68,4.44,4.23,3.25,2.36,4.53,6.71,1.75,3.27,2.2,3.66,1.28,3.35,5.48,4.3,3.56,4.97,5.22,4.38,
November,,,,,,,,4.01,3.62,1.89,3.48,4.36,2.85,3.24,1.95,4.24,3.33,4.7,2.13,0.76,7.01,3.23,3.29,3.3,5.1,2.86,4.03,2.95,2.04,2.01,1.27,2.07,2.05,3.74,2.55,2.64,7.05,3.21,5.16,8.6,
December,,,,,,,,4.89,2.91,2.83,4.97,6.05,2.68,1.86,2.59,1.04,4.11,3.45,2.88,7.18,6.06,6.62,4.34,1.48,7.46,7.86,3.68,1.6,6.51,6.38,3.8,3.79,5.24,3.33,4.07,5.12,2.22,2.85,2.87,7.17,
Total,,,,,,,,37.92,31.2,32.77,42.89,32.09,33.44,41.94,31.05,28.96,38.02,38.15,31.94,40.85,41.8,28.58,47.56,31.76,39.3,36.58,37.23,36.72,38.02,38.4,40.39,26.78,42.19,40.02,41.16,48.69,48.45,51.18,38.38,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is from sketch on 1890s record, which confirms the relationship to the church and school noted on the records. Altitudes match.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge appears to have moved in 1929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
