"CIRENCESTER",,,,,,,,,,,,
Grid ref,SP004012,Long,-1.995611,Lat,51.709535,,,,,,,
Station no,2202/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.90,,0.75,1.71,2.62,3.60,3.75,3.25,4.54,4.86,,
February,,0.65,1.70,3.07,1.65,0.28,4.07,4.00,0.16,2.98,,
March,,,1.30,3.43,1.72,0.53,2.75,1.56,2.95,1.56,,
April,3.04,,2.73,0.43,1.09,2.61,0.30,0.83,3.36,1.35,,
May,,,2.75,1.76,4.84,0.68,1.59,2.55,1.05,1.80,,
June,,1.88,1.47,5.69,3.69,2.22,1.34,3.90,1.57,3.26,,
July,2.05,0.15,3.38,2.87,0.14,3.06,3.53,3.07,2.07,4.12,,
August,,3.07,4.36,3.31,0.98,4.76,3.82,2.81,2.20,2.99,,
September,3.25,1.38,3.39,4.20,0.72,4.18,4.73,5.36,0.26,3.96,,
October,1.19,4.53,2.48,3.81,1.63,1.32,2.10,2.36,2.16,5.13,,
November,-999.00,3.29,1.89,6.51,3.31,0.81,1.81,3.13,2.83,5.43,,
December,,2.81,0.99,2.74,3.86,4.06,2.61,3.56,6.57,4.03,,
Total,,,27.19,39.53,26.25,28.11,32.40,36.38,29.72,41.47,,
Calc annual,13.43,17.76,27.19,39.53,26.25,28.11,32.40,36.38,29.72,41.47,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,-0.00,,
