ROY BRIDGE KINCHILLI,,,,,,,,,,,,,,,,,,,,
Grid ref,NN 277 811,Long,-4.83032,Lat,56.889243,Elevation,407,ft,,,,,,,,,,,,
Station no,RR2708,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,3.7,9.01,4.93,1.63,4.29,,,,,,,,,
February,,,,,,,4.04,8.52,2.32,2.26,6.96,,,,,,,,,
March,,,,,,,5.85,3,4.57,5.75,3.56,,,,,,,,,
April,,,,,,,2.23,1.93,1.37,1.37,4.99,,,,,,,,,
May,,,,,,,1.33,2.75,4.38,3.17,1.79,,,,,,,,,
June,,,,,,2.85,3.95,7.94,1.59,3.79,3.28,,,,,,,,,
July,,,,,,3.21,2.72,4.38,0.87,6.65,3.53,,,,,,,,,
August,,,,,,5.78,3.99,4.93,5.03,5.01,1.91,,,,,,,,,
September,,,,,,3.72,3.3,3.67,8.53,6.24,3.83,,,,,,,,,
October,,,,,,4.44,4.47,9.03,6.4,3.51,1.95,,,,,,,,,
November,,,,,,3.76,2.12,14.63,3.59,3.43,7.95,,,,,,,,,
December,,,,,,5.99,3.6,9.29,2.16,4.68,5.32,,,,,,,,,
Total,,,,,,,41.3,79.08,45.74,47.49,49.36,,,,,,,,,
