"EAST BUDLEIGH (YETTINGTON INTAKES)",,,,,,,,,,,,
Grid ref,SY038858,Long,-3.362502,Lat,50.663898,,,,,,,
Station no,1803,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.32,2.39,0.69,1.91,4.25,3.55,3.53,3.35,4.57,4.26,,
February,3.78,0.48,1.31,3.40,2.44,0.27,5.26,3.86,0.43,4.70,,
March,4.64,2.39,0.58,3.67,1.88,0.98,3.57,3.25,5.01,2.82,,
April,1.30,2.92,2.39,0.19,1.24,0.99,0.06,0.48,3.04,3.02,,
May,2.49,2.72,4.29,1.95,3.65,0.75,1.94,3.13,1.36,2.08,,
June,0.81,1.20,1.99,4.57,2.59,1.59,0.79,4.34,1.39,0.88,,
July,1.64,0.80,2.80,2.98,2.92,2.57,2.66,2.68,2.29,4.01,,
August,4.16,4.08,1.76,3.58,0.29,3.52,2.34,4.69,3.39,4.77,,
September,3.73,2.86,3.02,2.65,1.11,6.40,2.52,4.51,0.44,7.44,,
October,0.94,6.01,3.13,2.47,1.92,2.40,2.10,2.34,2.89,11.15,,
November,5.71,4.32,2.15,6.98,4.61,1.29,1.92,2.92,6.54,4.48,,
December,2.56,3.08,0.98,3.13,-999.00,5.21,2.62,4.82,7.20,3.48,,
Total,35.08,33.25,25.09,37.48,31.77,29.52,29.31,40.37,38.55,53.09,,
Calc annual,35.08,33.25,25.09,37.48,26.90,29.52,29.31,40.37,38.55,53.09,,
Difference,-0.00,0.00,0.00,0.00,4.87,0.00,0.00,0.00,-0.00,0.00,,
