PRESCOT,,,,,,,,,,,,
Grid ref,SJ473936,Long,-2.794748,Lat,53.436530,,,,,,,
Station no,2820/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.05,3.91,1.57,3.31,2.51,4.45,1.63,2.98,3.33,4.87,,
February,2.37,0.84,1.35,2.84,2.29,0.43,1.91,5.39,0.42,1.78,,
March,5.00,2.45,1.21,2.48,1.87,1.07,2.66,1.59,1.39,1.78,,
April,1.97,2.38,2.69,0.87,2.03,3.05,0.44,0.96,2.84,1.54,,
May,3.23,2.65,2.27,2.49,3.10,1.18,1.40,3.60,1.99,2.36,,
June,1.02,2.37,1.66,3.35,3.96,1.91,1.68,4.52,2.83,2.03,,
July,2.43,1.43,4.36,4.62,0.75,4.86,4.35,4.78,4.63,4.97,,
August,5.60,2.30,3.71,5.64,1.56,9.07,5.29,3.25,1.17,4.60,,
September,3.91,3.38,4.00,3.85,2.79,2.77,5.98,4.01,0.25,3.42,,
October,1.09,5.37,1.99,5.88,2.39,2.49,3.70,3.52,3.19,3.71,,
November,9.00,3.08,3.46,6.07,1.85,2.16,1.35,1.92,4.95,5.77,,
December,5.67,3.02,1.21,4.12,4.06,2.52,3.21,3.97,6.07,3.82,,
Total,44.34,33.18,29.48,45.52,29.16,35.96,33.60,40.49,33.06,40.65,,
Calc annual,44.34,33.18,29.48,45.52,29.16,35.96,33.60,40.49,33.06,40.65,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
